DAP,Env,LON,LAT,DOY,YYYYMMDD,daysFromStart,T2M,T2M_MAX,T2M_MIN,T2MDEW,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,PRECTOT,EVPTRNS,QV2M,RH2M,GWETROOT,GWETTOP,FROST_DAYS,WS2M,P_ETP,VPD,N,RTA,n,TH1,TH2,n.1,N.1,RTA.1,VPD.1,SPV,ETP,PETP,GDD,FRUE,T2M_RANGE,PTT,PTR,PAR_TEMP
12,DEH1.2020,-75.46570343,38.62902503,146,2020-05-25,12,17.29,23.96,11.01,14.44,31.43,16.38,14.25,7.73,1.03,0.02,0.89,5.46,10.17,84.56,0.71,0.71,0,2.18,-4.57,0.500331289,14.541,40.868,5.07,62.68703976,63.6884,5.77071660748032,14.3980569077475,40.8684376985685,0.500331289460822,0.126235396769185,7.09203186777451,-6.20203186777451,9.485,0.431136363636364,12.95,137.921385,1.53305218766473,0.447079237
13,DEH1.2020,-75.46570343,38.62902503,147,2020-05-26,13,19,25.92,12.4,15.98,31.64,20.24,14.81,9.4,1.23,0.03,0.07,6.6,11.23,84.05,0.71,0.7,0,1.75,-6.53,0.576798393,14.564,40.945,5.268,65.480655,65.9528,7.12814902643024,14.4201635749549,40.9452874336512,0.57679839326951,0.138392197290487,8.88645660339933,-8.81645660339933,11.16,0.507272727272727,13.52,162.53424,1.30501792114695,0.494736842
14,DEH1.2020,-75.46570343,38.62902503,148,2020-05-27,14,20.08,25.81,13.89,17.13,32.6,20.96,15.14,9.72,1.29,0.03,0.52,6.14,12.04,84.28,0.7,0.69,0,2.48,-5.62,0.50178222,14.586,41.019,5.384,67.26694976,67.4468,7.37938235474674,14.441525109081,41.0189297335477,0.501782219951312,0.143680730654912,9.25227664114809,-8.7322766411481,11.85,0.538636363636364,11.92,172.8441,1.23088607594937,0.484063745
15,DEH1.2020,-75.46570343,38.62902503,149,2020-05-28,15,21.46,26.17,17.85,19.34,34.51,16.02,4.12,7.88,1.09,0.03,1.94,4.26,13.87,88.24,0.69,0.68,0,4.92,-2.32,0.475531906,14.608,41.089,1.465,69.81122096,69.6224,5.63852214799167,14.4621282415972,41.0893649700229,0.475531906451643,0.161355323225187,7.18283238875912,-5.24283238875912,14.01,0.636818181818182,8.32,204.65808,1.04268379728765,0.367194781
16,DEH1.2020,-75.46570343,38.62902503,150,2020-05-29,16,22.57,26.2,19.68,20.65,34.91,16.35,5.73,7.87,1.07,0.03,0.45,2.51,15.07,89.18,0.68,0.68,0,4.26,-2.06,0.412822624,14.628,41.157,2.037,71.75560674,71.204,5.75314971502695,14.4819599892785,41.1565937883115,0.412822624175599,0.169512073509489,7.37616353756571,-6.92616353756571,14.94,0.679090909090909,6.52,218.54232,0.979116465863454,0.348692955
17,DEH1.2020,-75.46570343,38.62902503,151,2020-05-30,17,23.31,27.81,18.2,17.08,32.51,24.76,21.73,11.48,1.5,0.04,0.06,7.31,12.24,70.74,0.68,0.66,0,2.43,-7.25,0.966594323,14.648,41.221,7.722,71.38987906,70.6588,8.71032448284675,14.5010076804704,41.2206170821206,0.966594323196782,0.170094946166779,11.1749518397457,-11.1149518397457,15.005,0.682045454545455,9.61,219.79324,0.97620793068977,0.492492492
18,DEH1.2020,-75.46570343,38.62902503,152,2020-05-31,18,18.21,22.56,13.15,9.42,27.91,30.01,34.72,13.33,1.71,0.04,0,6.29,7.33,59.11,0.67,0.64,0,3.81,-6.29,0.942956536,14.667,41.281,12.336,63.25366169,62.8012,10.5549371476903,14.5192589813218,41.2814359699731,0.9429565362943,0.128839769104531,13.0349721442784,-13.0349721442784,9.855,0.447954545454546,9.41,144.543285,1.4882800608828,0.732015376
19,DEH1.2020,-75.46570343,38.62902503,153,2020-06-01,19,16.49,21.77,11,7.38,26.23,29.94,34.96,13.08,1.64,0.03,0.04,5.31,6.33,57.64,0.66,0.63,0,2.96,-5.27,0.931570321,14.686,41.339,12.42,60.82416764,60.3468,10.5282737962268,14.5367019218851,41.3390517728767,0.931570321130902,0.118754704086099,12.8355197305319,-12.7955197305319,8.385,0.381136363636364,10.77,123.14211,1.75146094215862,0.793208005
20,DEH1.2020,-75.46570343,38.62902503,154,2020-06-02,20,18.81,23.76,13.96,13.18,31.05,16.7,3.67,7.9,1.07,0.02,0.3,3.09,9.38,71.79,0.65,0.62,0,3.1,-2.79,0.752308806,14.703,41.393,1.304,64.63879201,64.7548,5.87147078324751,14.5533249219763,41.3934659932991,0.752308805553095,0.136144782984941,7.31458294608393,-7.01458294608393,10.86,0.493636363636364,9.8,159.67458,1.35386740331492,0.419989367
21,DEH1.2020,-75.46570343,38.62902503,155,2020-06-03,21,25.5,32.09,19.23,18.83,33.55,21.58,9.99,9.91,1.26,0.03,0.97,6.49,13.57,68.56,0.64,0.61,0,3.85,-5.52,1.329826822,14.72,41.445,3.548,74.458892,73.4788,7.58605299071098,14.5691168166898,41.4446802954245,1.32982682221295,0.195392667503993,9.89611186191672,-8.92611186191672,17.66,0.802727272727273,12.86,259.9552,0.83352208380521,0.388627451
22,DEH1.2020,-75.46570343,38.62902503,156,2020-06-04,22,25.44,31.24,19.83,19.77,33.82,26.61,26.09,12.22,1.56,0.04,4.19,4.83,14.39,72.22,0.64,0.61,0,2.09,-0.64,1.128831637,14.736,41.493,9.266,74.76798032,73.7572,9.35301999088832,14.5840668814592,41.4926964866639,1.12883163682506,0.194134390986744,12.1942257917936,-8.00422579179361,17.535,0.797045454545454,11.41,258.39576,0.840376390076989,0.480345912
23,DEH1.2020,-75.46570343,38.62902503,157,2020-06-05,23,24.81,29.92,21.26,20.45,34.56,23.82,19.42,11.12,1.44,0.03,1.17,5.26,14.91,78.51,0.63,0.6,0,4.1,-4.09,0.971070391,14.751,41.538,6.896,74.45271769,73.372,8.37142699371333,14.5981648565549,41.5375165003851,0.971070391167551,0.194687189477919,10.9190546519705,-9.7490546519705,17.59,0.799545454545455,8.66,259.47009,0.838601478112564,0.448206368
24,DEH1.2020,-75.46570343,38.62902503,158,2020-06-06,24,25.5,31.54,20.51,20.75,34.62,25.49,18.81,11.76,1.51,0.04,1.44,4.22,15.27,77.32,0.63,0.59,0,2.31,-2.78,1.073742102,14.765,41.579,6.68,75.417674,74.17,8.95748660100143,14.6114009709084,41.5791423798296,1.07374210207365,0.199106200618562,11.7127367792215,-10.2727367792215,18.025,0.819318181818182,11.03,266.139125,0.819140083217753,0.461176471
25,DEH1.2020,-75.46570343,38.62902503,159,2020-06-07,25,22.42,27.53,18.05,14.11,29.8,30.26,36.41,13.55,1.72,0.04,0.05,5.08,10.05,63.21,0.62,0.57,0,2.71,-5.03,1.264006157,14.779,41.618,12.93,69.45113518,68.6996,10.6328911445313,14.6237659651551,41.6175762631771,1.26400615733434,0.168173413061301,13.6382508198741,-13.5882508198741,14.79,0.672272727272727,9.48,218.58141,0.999256254225828,0.604371097
26,DEH1.2020,-75.46570343,38.62902503,160,2020-06-08,26,21.37,27.76,14.41,12.03,28.86,29.81,37.07,13.37,1.7,0.04,0,4.47,8.74,60.41,0.61,0.56,0,1.9,-4.47,1.279150833,14.791,41.653,13.164,67.75159083,66.9008,10.4741247250367,14.6352511137867,41.6528203697184,1.27915083272977,0.153573771937062,13.2797943664693,-13.2797943664693,13.085,0.594772727272727,13.35,193.540235,1.1303782957585,0.625643425
27,DEH1.2020,-75.46570343,38.62902503,161,2020-06-09,27,23.77,30.87,15.55,16.98,30.94,29.96,36.73,13.58,1.72,0.04,0.01,4.33,12.09,70.43,0.6,0.55,0,2.29,-4.32,1.177749884,14.803,41.685,13.043,72.05600889,71.0828,10.5263502059804,14.6458482463082,41.6848769870968,1.17774988368385,0.171944327958948,13.5396478160009,-13.5296478160009,15.21,0.691363636363636,15.32,225.15363,0.973241288625904,0.571308372
28,DEH1.2020,-75.46570343,38.62902503,162,2020-06-10,28,26.39,31.78,21.06,21.97,34.72,26.39,25.34,12.2,1.55,0.04,0.09,3.14,16.36,78.25,0.59,0.55,0,4.68,-3.05,0.956952313,14.813,41.714,8.998,76.92982325,75.4992,9.27176225204911,14.6555497672973,41.7137484595768,0.956952312903762,0.203191704673452,12.1522298440334,-12.0622298440334,18.42,0.837272727272728,10.72,272.85546,0.804180238870793,0.462296324
29,DEH1.2020,-75.46570343,38.62902503,163,2020-06-11,29,25.52,30.75,22.7,21.83,36.59,11.53,3.28,5.83,0.83,0.02,13.63,1.95,16.19,80.99,0.59,0.58,0,4.62,11.68,0.977261976,14.823,41.739,1.165,75.85159152,74.5788,4.050843798099,14.6643486752647,41.7394371772984,0.977261976062895,0.206394386442871,5.31800844359513,8.31199155640487,18.725,0.851136363636364,8.05,277.560675,0.791615487316422,0.228448276
30,DEH1.2020,-75.46570343,38.62902503,164,2020-06-12,30,24.79,30.3,19.74,15.72,31.59,28.28,28.15,12.82,1.65,0.04,8.58,5.81,11.21,62.13,0.62,0.61,0,1.82,2.77,1.522697161,14.832,41.762,9.998,72.74331673,71.6492,9.93562204587029,14.6722385802237,41.7619455664773,1.52269716086447,0.189022005181533,12.9215658566981,-4.34156585669806,17.02,0.773636363636364,10.56,252.44064,0.87144535840188,0.51714401
31,DEH1.2020,-75.46570343,38.62902503,165,2020-06-13,31,21.12,26.81,15.33,11.87,28.47,30.6,38.69,13.73,1.74,0.04,0,4.5,8.56,58.42,0.61,0.57,0,3.09,-4.5,1.243226804,14.84,41.781,13.742,67.26806096,66.5932,10.7508430083051,14.679213719877,41.781276080512,1.24322680433676,0.153450246978802,13.6302603874802,-13.6302603874802,13.07,0.594090909090909,11.48,193.9588,1.1354246365723,0.650094697
32,DEH1.2020,-75.46570343,38.62902503,166,2020-06-14,32,19.04,25.01,14.21,12.07,28.69,29.94,35.84,13.57,1.72,0.04,0,3.31,8.6,66.6,0.6,0.55,0,3.16,-3.31,0.98600982,14.847,41.797,12.731,64.7524336,64.5852,10.5192338512964,14.6852689743387,41.7974311919603,0.986009820203428,0.141822176058063,13.1918442801983,-13.1918442801983,11.61,0.527727272727273,10.8,172.37367,1.27881136950904,0.712710084
33,DEH1.2020,-75.46570343,38.62902503,167,2020-06-15,33,18.28,22.45,15,12.54,30.84,19.31,5.38,9.07,1.24,0.03,0.09,1.62,8.87,70.7,0.6,0.55,0,4.52,-1.53,0.758016975,14.853,41.81,1.911,63.7914204,63.9944,6.78471219729535,14.6903998793141,41.8104133853515,0.758016974704268,0.135143576551014,8.4484972455499,-8.3584972455499,10.725,0.4875,7.45,159.298425,1.3848951048951,0.496170678
34,DEH1.2020,-75.46570343,38.62902503,168,2020-06-16,34,18.14,22.04,15.7,13.25,32.11,18.61,4.14,8.9,1.23,0.03,2.4,1.28,9.32,74.59,0.59,0.55,0,4.78,1.12,0.694596138,14.858,41.82,1.471,63.72234974,64.11,6.53909810626081,14.6946026376679,41.8202251508006,0.694596138374372,0.136219195652936,8.15182003105068,-5.75182003105068,10.87,0.494090909090909,6.34,161.50646,1.36688132474701,0.490628445
35,DEH1.2020,-75.46570343,38.62902503,169,2020-06-17,35,19.67,23.54,16.61,17.38,33.86,7.83,2.05,4.16,0.62,0.01,5.72,1.11,12.2,87.04,0.6,0.57,0,5.27,4.61,0.411533979,14.863,41.827,0.728,66.73554032,67.1268,2.75144559570095,14.6978741293198,41.8268689783981,0.411533979039094,0.14544180246891,3.46228590610856,2.25771409389144,12.075,0.548863636363636,6.93,179.470725,1.23089026915114,0.211489578
36,DEH1.2020,-75.46570343,38.62902503,170,2020-06-18,36,22.71,28.48,17.97,18.05,32.52,26.06,25.95,12.01,1.56,0.04,0.74,3.25,12.74,77.43,0.6,0.55,0,2.91,-2.51,0.902966666,14.866,41.83,9.222,71.03111947,70.408,9.1581243489059,14.7002119194132,41.83034735335,0.902966666439513,0.172080312063799,11.7782689496024,-11.0382689496024,15.225,0.692045454545455,10.51,226.33485,0.976420361247947,0.52884192
37,DEH1.2020,-75.46570343,38.62902503,171,2020-06-19,37,23.7,29.96,17.67,18.14,33.42,24.13,22.51,11.25,1.48,0.03,0.1,3.25,12.82,73.9,0.59,0.54,0,2.82,-3.15,1.04518261,14.868,41.831,8.001,72.268457,71.4304,8.48061992974035,14.7016142647145,41.8306627518471,1.04518261042297,0.177501475794821,10.9463653304535,-10.8463653304535,15.815,0.718863636363636,12.29,235.13742,0.940120139108441,0.474683544
38,DEH1.2020,-75.46570343,38.62902503,172,2020-06-20,38,22.4,26.36,19.71,20.02,33.58,21.71,11.06,10.25,1.37,0.03,3.13,0.88,14.46,87.25,0.59,0.55,0,2.18,2.25,0.523942145,14.87,41.828,3.932,71.31581,70.8072,7.6308585384816,14.702080118208,41.8278176376476,0.523942145316831,0.170364534222978,9.80028569013231,-6.67028569013231,15.035,0.683409090909091,6.65,223.57045,0.989025606917193,0.457589286
39,DEH1.2020,-75.46570343,38.62902503,173,2020-06-21,39,23.98,29.32,18.55,19.19,33.7,24.26,24.64,11.4,1.49,0.04,0.23,2.69,13.74,76.87,0.59,0.54,0,1.92,-2.46,0.884799199,14.87,41.822,8.761,72.98048174,72.0884,8.52811008201156,14.7016091318595,41.8218144593631,0.884799199239085,0.178621527661574,11.0134578843023,-10.7834578843023,15.935,0.724318181818182,10.77,236.95345,0.933165986821462,0.475396163
40,DEH1.2020,-75.46570343,38.62902503,174,2020-06-22,40,25.75,32.57,18.94,19.92,34.25,27.34,27.7,12.8,1.66,0.04,0.26,3.25,14.41,73.35,0.58,0.53,0,2.46,-2.99,1.222867283,14.87,41.813,9.851,75.36719875,74.1212,9.61200639099019,14.7002016575372,41.8126556484388,1.22286728282794,0.196353543587902,12.5441482513003,-12.2841482513003,17.755,0.807045454545455,13.63,264.01685,0.83751056040552,0.497087379
41,DEH1.2020,-75.46570343,38.62902503,175,2020-06-23,41,26.87,32.26,21.03,21.14,34.26,28.84,32.74,13.36,1.7,0.04,0.63,2.46,15.66,73.58,0.57,0.52,0,3.02,-1.83,1.149826329,14.868,41.8,11.645,77.11599654,75.6804,10.1407359258209,14.6978587460809,41.8003436178287,1.14982632911125,0.205550258874154,13.2963263086072,-12.6663263086072,18.645,0.8475,11.23,277.21386,0.797425583266291,0.497208783
42,DEH1.2020,-75.46570343,38.62902503,176,2020-06-24,42,26.17,30.68,21.84,17.13,32.8,29.42,34.23,13.45,1.72,0.04,1.36,2.76,12.55,62.56,0.57,0.52,0,3.46,-1.4,1.561022154,14.866,41.785,12.178,74.75985248,73.5368,10.3461969692088,14.6945821445279,41.7848807613675,1.56102215386747,0.201528399197206,13.5358561445766,-12.1758561445766,18.26,0.83,8.84,271.45316,0.814129244249726,0.513947268
43,DEH1.2020,-75.46570343,38.62902503,177,2020-06-25,43,24.86,29.78,20.6,18.67,34.5,15.89,5.93,7.65,1.04,0.03,2.98,1.66,13.37,71.52,0.56,0.52,0,2.01,1.32,1.155586746,14.863,41.766,2.11,73.81131328,72.7812,5.58896091378248,14.6903742915084,41.7662694538487,1.15558674620571,0.190696896916527,7.2674825801743,-4.2874825801743,17.19,0.781363636363636,9.18,255.49497,0.864630599185573,0.30772325
44,DEH1.2020,-75.46570343,38.62902503,178,2020-06-26,44,25.6,31.61,18.49,16.37,32.64,28.12,28.06,12.75,1.63,0.04,0.57,2.3,11.62,61.85,0.56,0.51,0,2.64,-1.73,1.527958162,14.858,41.745,9.987,73.866714,72.6932,9.8922919685368,14.6852383108362,41.7445120518208,1.52795816228365,0.189316670504686,12.8506835481369,-12.2806835481369,17.05,0.775,13.12,253.3289,0.871436950146628,0.498046875
45,DEH1.2020,-75.46570343,38.62902503,179,2020-06-27,45,28.2,34.09,21.82,19.17,35.15,24.37,21.49,11.21,1.44,0.03,0.31,2.32,13.85,61.76,0.55,0.5,0,3.18,-2.01,1.759653643,14.853,41.72,7.651,77.5524768,76.3012,8.57466213768113,14.6791780033308,41.7196108951197,1.75965364289518,0.219744491148353,11.3108724153976,-11.0008724153976,19.955,0.907045454545455,12.27,296.391615,0.744324730643949,0.39751773
46,DEH1.2020,-75.46570343,38.62902503,180,2020-06-28,46,28.04,33.59,23.18,20.81,35.46,24.58,16.73,11.55,1.52,0.04,1.02,1.67,15.38,67.83,0.55,0.5,0,2.06,-0.65,1.561419015,14.847,41.692,5.958,78.14204668,76.7316,8.6502532156379,14.672197836912,41.6915683091598,1.56141901486154,0.224579501070726,11.4322540906532,-10.4122540906532,20.385,0.926590909090909,10.41,302.656095,0.728329654157469,0.411911555
47,DEH1.2020,-75.46570343,38.62902503,181,2020-06-29,47,28.28,34.03,22.35,18.83,33.7,27.76,30.24,12.72,1.63,0.04,0.43,1.86,13.67,61.13,0.54,0.49,0,2.26,-1.43,1.840250774,14.84,41.66,10.772,77.57989836,76.2588,9.7714179492989,14.6643029350229,41.6603866080096,1.84025077415864,0.222375923345981,12.8991071475843,-12.4691071475843,20.19,0.917727272727273,11.68,299.6196,0.735017335314512,0.449787836
48,DEH1.2020,-75.46570343,38.62902503,182,2020-06-30,48,27.31,33.42,21.56,17.95,33.97,26.45,27.49,12.11,1.54,0.04,0.82,1.65,12.85,60.73,0.54,0.49,0,1.73,-0.83,1.804290885,14.832,41.626,9.795,76.15621937,74.972,9.31238447294123,14.6554990634416,41.6260680982816,1.80429088534175,0.21461466731281,12.2478204125769,-11.4278204125769,19.49,0.885909090909091,11.86,289.07568,0.761005643919959,0.443427316
49,DEH1.2020,-75.46570343,38.62902503,183,2020-07-01,49,26.5,31.53,21.68,19.78,35.63,16.16,8.57,7.78,1.05,0.02,6.92,1.33,14.39,70.07,0.54,0.52,0,0.62,5.59,1.304700867,14.823,41.589,3.054,76.1278545,74.8208,5.6908845892081,14.6457926155509,41.5886150838699,1.3047008672463,0.205129285349456,7.44879142878172,-0.528791428781723,18.605,0.845681818181818,9.85,275.781915,0.79672131147541,0.293584906
50,DEH1.2020,-75.46570343,38.62902503,184,2020-07-02,50,27.11,32.66,20.78,18.91,33.89,28.84,32.11,13.28,1.69,0.04,2.14,1.67,13.61,64.22,0.54,0.51,0,1.74,0.47,1.509166383,14.814,41.548,11.449,76.31158158,75.1176,10.1588185552348,14.6351905961433,41.5480298715718,1.50916638263894,0.206341543181951,13.3015894050531,-11.1615894050531,18.72,0.850909090909091,11.88,277.31808,0.791346153846154,0.489856142
51,DEH1.2020,-75.46570343,38.62902503,185,2020-07-03,51,29.96,36.92,22.8,18.65,35.19,27.64,27.21,12.67,1.59,0.04,0.6,1.87,13.43,55.08,0.54,0.49,0,2.14,-1.27,2.361632352,14.803,41.504,9.705,79.02810832,77.874,9.73872443999756,14.6237006038448,41.5043147776312,2.36163235223513,0.241849228339479,12.9435255824167,-12.3435255824167,21.86,0.993636363636364,14.12,323.59358,0.677172918572736,0.422897196
52,DEH1.2020,-75.46570343,38.62902503,186,2020-07-04,52,26.95,31.83,22.24,20.47,35.07,25.34,22.06,11.75,1.51,0.03,0.87,1.11,14.96,69.53,0.53,0.48,0,2.43,-0.24,1.288846306,14.791,41.457,7.871,76.73766165,75.5192,8.93086586597664,14.6113308122469,41.4574721352449,1.28884630645862,0.209692976154225,11.7065573365304,-10.8365573365304,19.035,0.865227272727273,9.59,281.546685,0.777042290517468,0.435992579
53,DEH1.2020,-75.46570343,38.62902503,187,2020-07-05,53,27.55,33.9,21.52,19.31,34.53,26.5,24.7,12.29,1.58,0.04,0.16,1.09,13.89,64.58,0.53,0.48,0,2.09,-0.93,1.688329825,14.779,41.408,8.816,76.9944321,75.7016,9.34249455942453,14.5980899498418,41.407504303073,1.68832982475255,0.217028990111997,12.2845370630378,-12.1245370630378,19.71,0.895909090909091,12.38,291.29409,0.749822425164891,0.446098004
54,DEH1.2020,-75.46570343,38.62902503,188,2020-07-06,54,27.57,33.53,23.63,22.13,35.43,24.96,19.98,11.54,1.47,0.03,16.02,1.09,16.53,75.17,0.53,0.55,0,2.96,14.93,1.384960573,14.766,41.354,7.134,78.39951531,76.7368,8.80235723671221,14.5839872788591,41.3544136747951,1.38496057279331,0.226801390025685,11.6198385908084,4.40016140919161,20.58,0.935454545454545,9.9,303.88428,0.717492711370262,0.41857091
55,DEH1.2020,-75.46570343,38.62902503,189,2020-07-07,55,27.4,32.1,23.64,22.41,35.93,19.43,11.57,9.29,1.24,0.03,12.33,2.31,16.8,76.67,0.56,0.57,0,2.54,10.02,1.140111599,14.751,41.298,4.133,78.3276942,76.6676,6.85444606444616,14.5690325731082,41.2982026897553,1.14011159877676,0.21879916277289,9.01428117214927,3.31571882785073,19.87,0.903181818181818,8.46,293.10237,0.742375440362355,0.339051095
56,DEH1.2020,-75.46570343,38.62902503,190,2020-07-08,56,27.41,33.04,22.57,21.56,34.1,28.56,31.2,13.07,1.66,0.04,0.55,2.42,16.03,74.29,0.56,0.51,0,2.36,-1.87,1.315426587,14.737,41.239,11.15,78.03789011,76.3716,10.0788499811152,14.5532360949314,41.2388738447373,1.31542658681239,0.218078572484316,13.2457499391774,-12.6957499391774,19.805,0.900227272727273,10.47,291.866285,0.744105023983843,0.476833273
57,DEH1.2020,-75.46570343,38.62902503,191,2020-07-09,57,26.38,30.29,22.46,22.47,35.52,25.51,22.97,12.03,1.56,0.04,1.79,1.17,16.9,80.27,0.55,0.51,0,2.48,0.62,0.795912409,14.721,41.176,8.212,77.15266374,75.6692,9.00585328294139,14.536608571375,41.1764297069096,0.795912409229236,0.20272273681511,11.7441696694826,-9.95416966948257,18.375,0.835227272727273,7.83,270.498375,0.801142857142857,0.456027293
58,DEH1.2020,-75.46570343,38.62902503,192,2020-07-10,58,25.65,29.01,23.44,23.31,36.45,17.26,12.38,8.4,1.11,0.03,70.92,4.4,17.86,87.35,0.65,0.75,0,3.7,66.52,0.583969198,14.704,41.111,4.428,76.76667225,75.2416,6.09572854918067,14.5191611696888,41.1108729279803,0.583969198235394,0.201166082569389,7.9396564836052,62.9803435163948,18.225,0.828409090909091,5.57,267.9804,0.806803840877915,0.32748538
