"symbol","primaryIdentifier","description"
"MKK5","Zm00033ab153410, Zm00028ab148560, Zm00021ab146300, Zm00031ab150410, Zm00001eb145220, Zm00030ab145300, Zm00029ab150410","Protein kinase domain-containing protein"
"MUS81-1","Zm00018ab145850, Zm00001eb141350, Zm00033ab149210, Zm00037ab142060, Zm00031ab146310, Zm00026ab141750, Zm00021ab142390, Zm00026ab141770, Zm00028ab144620, Zm00042ab145840, Zm00027ab143020, Zm00036ab145340, Zm00036ab145360, Zm00030ab141370, Zm00020ab142710, Zm00035ab145840, Zm00022ab142760, Zm00023ab145250, Zm00034ab150560, Zm00032ab145250, Zm00025ab146620, Zm00019ab134430, Zm00029ab146370, Zm00041ab147130, Zm00041ab147140, Zm00038ab144210, Zm00038ab144240, Zm00024ab144050","Crossover junction endonuclease MUS81, ERCC4 domain-containing protein"
"NDHK","Zm00041ab141500","NAD(P)H-quinone oxidoreductase subunit K"
"NDHN","Zm00020ab147030, Zm00039ab147220, Zm00022ab147190","Oxidoreductases, NAD(P)H-quinone oxidoreductase subunit N"
"OS01G0908500","Zm00036ab148260, Zm00030ab144090","Magnesium transporter"
"OS10G0550500","Zm00020ab146400","Pectin acetylesterase"
"OSGA20OX2","Zm00027ab147350, Zm00028ab148930, Zm00037ab146250, Zm00001eb145600, Zm00025ab150950, Zm00041ab151690, Zm00034ab155400, Zm00026ab146510","Gibberellin 20 oxidase 2, Gibberellin-20 oxidase-2 (Fragment)"
"PBR1","Zm00037ab137360, Zm00035ab141310, Zm00022ab138120, Zm00034ab145810, Zm00025ab141650, Zm00024ab139240","NB-ARC domain containing protein expressed, Disease resistance protein RPM1"
"PCMP-E25","Zm00032ab143240","Pentatricopeptide repeat-containing protein"
"PEPCK","Zm00026ab137170","Phosphoenolpyruvate carboxykinase (Fragment)"
"PEPMIC","Zm00028ab147820, Zm00034ab156500","Leukotriene A-4 hydrolase (Fragment)"
"PETA","Zm00041ab141470, Zm00041ab141540","Cytochrome f"
"PHT2","Zm00018ab139310, Zm00001eb134960","Putrescine hydroxycinnamoyltransferase 2"
"PI2","Zm00018ab150260, Zm00033ab153850, Zm00027ab147420, Zm00040ab155640, Zm00020ab147010, Zm00028ab149020, Zm00035ab150090, Zm00037ab146320, Zm00042ab150210, Zm00021ab146860, Zm00036ab149820, Zm00031ab150910, Zm00001eb145660, Zm00025ab151040, Zm00030ab145680, Zm00038ab148450, Zm00034ab155350, Zm00023ab149660, Zm00041ab151760, Zm00024ab148290, Zm00022ab147170, Zm00032ab149610, Zm00026ab146570, Zm00019ab137890, Zm00029ab150860","PISTILLATA-like MADS-box transcription factor (Fragment), MADS-box transcription factor 2"
"PNSB5","Zm00033ab150370, Zm00037ab143150, Zm00028ab145730, Zm00031ab147580, Zm00035ab146950, Zm00025ab147750, Zm00032ab146450, Zm00024ab145140","NAD(P)H dehydrogenase 18, photosynthetic NDH subunit of subcomplex B 5"
"PPD4","Zm00018ab143220, Zm00001eb138680, Zm00033ab146350, Zm00026ab139170, Zm00037ab139270, Zm00031ab143590, Zm00030ab138680, Zm00021ab139740, Zm00027ab140400, Zm00042ab143130, Zm00035ab143110, Zm00020ab140090, Zm00034ab147790, Zm00032ab142690, Zm00025ab143570, Zm00038ab141490, Zm00041ab144340, Zm00019ab132160, Zm00024ab141240","PsbP domain-containing protein"
"PPD7","Zm00018ab146700, Zm00037ab142770, Zm00042ab146510, Zm00039ab143760, Zm00026ab142660, Zm00041ab148110","PsbP domain-containing protein"
"PPR","Zm00026ab145460, Zm00038ab148310","Putative DYW domain-containing protein, Pentatricopeptide repeat-containing protein"
"PR6","Zm00018ab146080, Zm00001eb141540, Zm00033ab149390, Zm00037ab142250, Zm00028ab144780, Zm00026ab141970, Zm00021ab142550, Zm00031ab146510, Zm00042ab146060, Zm00027ab143210, Zm00036ab145530, Zm00039ab143100, Zm00030ab141570, Zm00020ab142910, Zm00035ab146050, Zm00022ab142930, Zm00034ab150740, Zm00023ab145480, Zm00032ab145430, Zm00019ab134570, Zm00025ab146840, Zm00029ab146530, Zm00041ab147350, Zm00024ab144270, Zm00038ab144450","Pathogenesis-related protein 6, Beta 1, Glucan endo-1"
"PSBB","Zm00041ab141450","Photosystem II CP47 reaction center protein"
"RBCL","Zm00041ab141480, Zm00041ab141490, Zm00041ab141520, Zm00041ab141530","Ribulose bisphosphate carboxylase large chain (Fragment)"
"RPB2","Zm00027ab143970","DNA-directed RNA polymerase"
"RPL2","Zm00001eb141660, Zm00037ab142350, Zm00028ab144880, Zm00030ab141680, Zm00034ab150840, Zm00032ab145570, Zm00029ab146680, Zm00018ab152640, Zm00033ab156400, Zm00035ab152530, Zm00031ab153220","Ribosomal protein L2 (Fragment), 60S ribosomal protein L2"
"RPL23","Zm00027ab136900, Zm00042ab139660, Zm00020ab136610, Zm00025ab140100, Zm00023ab139160","50S ribosomal protein L23, Ribosomal protein L23"
"RPS2","Zm00034ab152540","30S ribosomal protein S2"
"RPS7","Zm00026ab145170","Ribosomal protein small subunit 7"
"RPS8","Zm00041ab141440","30S ribosomal protein S8"
"RTF1","Zm00025ab142510","Plus3 domain-containing protein"
"SABP2","Zm00018ab146630, Zm00001eb142080, Zm00036ab146210, Zm00035ab146510, Zm00023ab145940, Zm00025ab147310","Methylesterase 4, Salicylic acid-binding protein 2, Polyneuridine-aldehyde esterase, AB hydrolase-1 domain-containing protein"
"SGS3","Zm00021ab139490, Zm00036ab142440","Suppressor of gene silencing 3"
"SKP1","Zm00018ab151010, Zm00033ab154690, Zm00027ab148070, Zm00021ab147690, Zm00001eb146340, Zm00031ab151640, Zm00030ab146220, Zm00023ab150360, Zm00022ab147740, Zm00024ab148880, Zm00032ab150290, Zm00019ab138420, Zm00029ab151510","SCF ubiquitin ligase"
"SYP24","Zm00027ab148700, Zm00037ab147600, Zm00026ab147690","Syntaxin-24"
"TFIIAY","Zm00020ab141250, Zm00032ab143870, Zm00025ab144850","Transcription initiation factor IIA subunit 2"
"VP1","Zm00018ab148380, Zm00001eb143690, Zm00028ab147110, Zm00033ab151860, Zm00037ab144460, Zm00042ab148250, Zm00031ab148890, Zm00030ab143790, Zm00021ab144850, Zm00027ab145480, Zm00020ab145090, Zm00040ab153800, Zm00026ab144600, Zm00036ab147970, Zm00035ab148130, Zm00023ab147740, Zm00034ab153250, Zm00022ab145260, Zm00025ab149040, Zm00032ab147660, Zm00019ab136310, Zm00029ab148900, Zm00038ab146530, Zm00024ab146380, Zm00041ab149800","Regulatory protein viviparous-1"
"VPS53","Zm00036ab148390","Vacuolar protein sorting-associated protein 53 A"
"WOX5","Zm00018ab152200, Zm00033ab155890, Zm00020ab148920, Zm00027ab149480, Zm00028ab150820, Zm00035ab152120, Zm00021ab148910, Zm00037ab148320, Zm00042ab152180, Zm00036ab151490, Zm00030ab147350, Zm00031ab152800, Zm00001eb147630, Zm00025ab152970, Zm00023ab151500, Zm00034ab157030, Zm00038ab150260, Zm00022ab148970","Homeobox domain-containing protein, WOX transcription factor CB1-2"
"ZIP4","Zm00018ab149710, Zm00033ab153310, Zm00027ab146790, Zm00028ab148440, Zm00020ab146450, Zm00037ab145740, Zm00035ab149540, Zm00042ab149650, Zm00039ab146680, Zm00036ab149300, Zm00021ab146180, Zm00031ab150330, Zm00001eb145140, Zm00025ab150460, Zm00030ab145230, Zm00038ab147820, Zm00041ab151080, Zm00023ab149080, Zm00032ab149040, Zm00024ab147730, Zm00022ab146580, Zm00026ab146030, Zm00019ab137410, Zm00029ab150320, Zm00034ab155870","TPR repeat-containing protein ZIP4, TPR repeat-containing protein ZIP4-like"
"lox1","541856","linoleate 9S-lipoxygenase1"
"lox2","100037802","linoleate 9S-lipoxygenase2"
"shbp1","100282017","sedoheptulose bisphosphatase 1"
