file_id,relative_path,sha256,size_bytes,data_stage,description,source_or_citation,redistribution_status,dryad_url,consumed_by,produced_by
env_names_g2f_2020_2021,data/supplementary/Env_Names_G2F_2020_2021.csv,34103950A5EE7001267D28EF087E9E91B03C63CF7F9D9A2C8F774B527AF3021D,254,processed,Reference input; see docs/RESOURCE_INVENTORY.md,0.0_Data/Env_Names_G2F_2020_2021.csv,included_in_github,,configured analysis input resolver,
envrtype_weather_data_cleaned_v2,data/supplementary/EnvRtype_Weather_Data_Cleaned_V2.csv,0BFD2839815956356AF2BAC4AB6727D02EEAD4FCD20363D2F59EB7EFE752E464,956133,processed,Reference input; see docs/RESOURCE_INVENTORY.md,0.0_Data/EnvRtype_Weather_Data_Cleaned_V2.csv,included_in_github,,configured analysis input resolver,
envrtype_weather_variable_descriptions,data/supplementary/EnvRType_Weather_Variable_Descriptions.xlsx,39322393EAF6AE703A93DE547BF814FFFD77D575DFE59BCD4B2ABD8BC2FE8369,10495,processed,Reference input; see docs/RESOURCE_INVENTORY.md,1.5_Weather_GDD_FPCA/EnvRType_Weather_Variable_Descriptions.xlsx,included_in_github,,configured analysis input resolver,
envs_coordinates,data/supplementary/Envs_Coordinates.csv,B470684E2EA8E6177508C75ECE45CF5625A336F97CA64A3C2313A23C9852C896,1027,processed,Reference input; see docs/RESOURCE_INVENTORY.md,0.0_Data/Collaborator_Files/Envs_Coordinates.csv,included_in_github,,configured analysis input resolver,
pedigree_overlap_genomic_phenomic,data/supplementary/Pedigree_Overlap_Genomic_Phenomic.csv,DADFACF89F2501600F91022DB754E9A541768E15B77D45A697E08045CF0D900D,22106,processed,Reference input; see docs/RESOURCE_INVENTORY.md,0.0_Data/Pedigree_Overlap_Genomic_Phenomic.csv,included_in_github,,configured analysis input resolver,
pedigree_overlap_phenomic_phenotypic_blues,data/supplementary/Pedigree_Overlap_Phenomic_Phenotypic_BLUEs.csv,B1A944D7875A8AAEA7BA09A5B095157D729CDD64AC4BEFFAD0ECD8AE3F5BFE5D,466916,processed,Reference input; see docs/RESOURCE_INVENTORY.md,0.0_Data/Pedigree_Overlap_Phenomic_Phenotypic_BLUEs.csv,included_in_github,,configured analysis input resolver,
imagery_collection_links,results/drone/D2S_STAC_Links.xlsx,21582625B043A11EB962764EB49C95AF07535E31C1CE11D97D519698FDA12FC5,11231,metadata,16 deposited imagery collections with DOIs; linked in outer README,4.3_Drone_Data_Description_Table/D2S_STAC_Links.xlsx,included_in_github,,manuscript imagery access,
qtl_ld_genotype_csv,Michel_2022_Supplementary/cm.mbp.ss.100k.sites.SSpopulation_geno.csv,D5824BFE86D639D4153CC8B4D097786BED39258E0009A0C72F181DA04557C39E,159722700,raw,Large genotype CSV for QTL preparation and Figure 5 LD; relative path under data_dir; download/setup in data/MICHEL_2022_DATA.md,Michel et al. (2022); https://doi.org/10.25386/genetics.19439684; File S5 control.tar.gz,external_cc_by_4_0,,scripts/04_qtl/; scripts/04_qtl/ld/calculate_regional_ld.R,
figure1_vi_variance_components,data/supplementary/VarComp_G2F_2020_2021.csv,A7FEA46B5CD3C4ABFDD5FB65696A207576AE4C821A7B6F797647CAF1CA37C164,8653846,processed,VI variance components and model-fit statistics used for Figure 1; unchanged source contents,0.0_Data/VarComp_G2F_2020_2021.CSV,included_in_github,,scripts/07_results_figures/figures/plot_variance_components.R,scripts/01_blue_variance/vi_variance_components_source.R
figure1_yield_variance_components,data/supplementary/VarComp_Yield_G2F_2020_2021.csv,7E8EAE1E53CD7C75B6246FE6E5BD0D3D59FC6D6985C5276E735AFCBA58E2E25A,9733,processed,Yield variance components and model-fit statistics used for Figure 1; unchanged source contents,0.0_Data/VarComp_Yield_G2F_2020_2021.csv,included_in_github,,scripts/07_results_figures/figures/plot_variance_components.R,scripts/01_blue_variance/yield_variance_components_source.R
vi_yield_correlation_input_agdd,FPC_Scores_BLUEs_AGDD_Unified_FPCA_Max_FPCs_2020_2021_G2F_VIs.csv,B168803C7A4C0679A5B2F790665FC7F5443223C27360C56B655EE7B6850394EC,190039154,processed,Full-data AGDD VI scores; retain FPC1-7; path relative to external data_dir,0.0_Data/FPC_Scores_BLUEs_AGDD_Unified_FPCA_Max_FPCs_2020_2021_G2F_VIs.csv,external_download_pending,,scripts/02_fpca_weather/vi_yield_correlations.R,
vi_yield_correlation_input_cohort,G2F.2020.2021.Pedigrees.csv,3B2104E5D15759C5B6194B1861557DDAFA2354421A86DCEAB03E66CD027FD2D8,568010,processed,"Canonical 10,109 genotype-environment records; path relative to external data_dir",0.0_Data/G2F.2020.2021.Pedigrees.csv,external_download_pending,,scripts/02_fpca_weather/vi_yield_correlations.R,
vi_yield_correlation_input_dap,FPC_Scores_BLUEs_Unified_FPCA_Max_FPCs_2020_2021_G2F_VIs.csv,E29FD23F2670D12C9CBD1FBBAE159C129062F767F3D81C9734A04BBCC8546767,219716036,processed,Full-data DAP VI scores; retain FPC1-5; path relative to external data_dir,0.0_Data/FPC_Scores_BLUEs_Unified_FPCA_Max_FPCs_2020_2021_G2F_VIs.csv,external_download_pending,,scripts/02_fpca_weather/vi_yield_correlations.R,
vi_yield_correlation_input_yield,Yield_DTA_DTS_BLUEs_G2F_2020_2021.csv,0322315443B4619E89A2200ED65F6E8650C43182FF9D72DB2EA9A4E4E139A2E4,4355089,processed,Yield BLUEs for the VI FPC correlations; path relative to external data_dir,0.0_Data/Yield_DTA_DTS_BLUEs_G2F_2020_2021.csv,external_download_pending,,scripts/02_fpca_weather/vi_yield_correlations.R,
