primaryIdentifier,symbol,name,description,chr,start,end,n_go,go_terms
Zm00028ab137700,,,Cyclic nucleotide-binding domain-containing protein,chr3,112621872,112628472,9,GO:0005216 | ion channel activity | molecular_function; GO:0005244 | voltage-gated ion channel activity | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0009860 | pollen tube growth | biological_process; GO:0015079 | potassium ion transmembrane transporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0030552 | cAMP binding | molecular_function; GO:0030553 | cGMP binding | molecular_function; GO:0071805 | potassium ion transmembrane transport | biological_process
Zm00030ab134720,,,C2 NT-type domain-containing protein,chr3,112642182,112646730,1,GO:0097573 | glutathione oxidoreductase activity | molecular_function
Zm00025ab139080,,,Putative axial regulator YABBY 2,chr3,112645725,112652779,4,GO:0005634 | nucleus | cellular_component; GO:0010158 | abaxial cell fate specification | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0046872 | metal ion binding | molecular_function
Zm00038ab137200,,,Serine/threonine-protein kinase RUNKEL,chr3,112661059,112662623,4,GO:0006417 | regulation of translation | biological_process; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0030015 | CCR4-NOT core complex | cellular_component
Zm00033ab141700,,,Long chain base biosynthesis protein 2a,chr3,112662089,112663419,5,GO:0004758 | serine C-palmitoyltransferase activity | molecular_function; GO:0005789 | endoplasmic reticulum membrane | cellular_component; GO:0006665 | sphingolipid metabolic process | biological_process; GO:0009058 | biosynthetic process | biological_process; GO:0030170 | pyridoxal phosphate binding | molecular_function
Zm00038ab137210,,,,chr3,112673533,112681306,2,"GO:0000462 | maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) | biological_process; GO:0005634 | nucleus | cellular_component"
Zm00027ab136060,,,RING-H2 finger protein ATL2I,chr3,112674935,112675976,10,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00038ab137220,,,Integral membrane HRF1 family protein,chr3,112681799,112684936,8,GO:0005789 | endoplasmic reticulum membrane | cellular_component; GO:0005793 | endoplasmic reticulum-Golgi intermediate compartment | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0006888 | endoplasmic reticulum to Golgi vesicle-mediated transport | biological_process; GO:0015031 | protein transport | biological_process; GO:0030134 | COPII-coated ER to Golgi transport vesicle | cellular_component; GO:0031301 | integral component of organelle membrane | cellular_component; GO:0098588 | bounding membrane of organelle | cellular_component
Zm00019ab128540,,,Integral membrane HRF1 family protein,chr3,112690228,112693392,8,GO:0005789 | endoplasmic reticulum membrane | cellular_component; GO:0005793 | endoplasmic reticulum-Golgi intermediate compartment | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0006888 | endoplasmic reticulum to Golgi vesicle-mediated transport | biological_process; GO:0015031 | protein transport | biological_process; GO:0030134 | COPII-coated ER to Golgi transport vesicle | cellular_component; GO:0031301 | integral component of organelle membrane | cellular_component; GO:0098588 | bounding membrane of organelle | cellular_component
Zm00022ab135850,,,translation initiation factor IF3-1,chr3,112694263,112701276,4,GO:0003743 | translation initiation factor activity | molecular_function; GO:0006413 | translational initiation | biological_process; GO:0032790 | ribosome disassembly | biological_process; GO:0043022 | ribosome binding | molecular_function
Zm00026ab134940,,,Putative methyl-CpG-binding domain-containing protein 11-like,chr3,112698185,112704854,2,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component
Zm00025ab139090,,,zf-RVT domain-containing protein,chr3,112703581,112705030,1,GO:0016021 | integral component of membrane | cellular_component
Zm00026ab134950,,,RING-H2 finger protein ATL70,chr3,112703768,112704596,13,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0009057 | macromolecule catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0017119 | Golgi transport complex | cellular_component; GO:0043412 | macromolecule modification | biological_process; GO:0044238 | primary metabolic process | biological_process; GO:0044248 | cellular catabolic process | biological_process; GO:0044260 | cellular macromolecule metabolic process | biological_process; GO:0061630 | ubiquitin protein ligase activity | molecular_function; GO:1901565 | organonitrogen compound catabolic process | biological_process
Zm00035ab139000,,,glycosyltransferase BC10,chr3,112705013,112707845,2,GO:0016020 | membrane | cellular_component; GO:0016757 | glycosyltransferase activity | molecular_function
Zm00035ab139010,,,,chr3,112711799,112717504,1,GO:0016021 | integral component of membrane | cellular_component
Zm00024ab136470,,,,chr3,112715007,112718318,1,GO:0005618 | cell wall | cellular_component
Zm00021ab135640,,,H( )-exporting diphosphatase,chr3,112719607,112720481,4,GO:0004427 | inorganic diphosphate phosphatase activity | molecular_function; GO:0009678 | pyrophosphate hydrolysis-driven proton transmembrane transporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:1902600 | proton transmembrane transport | biological_process
Zm00021ab135650,,,H( )-exporting diphosphatase (Fragment),chr3,112720749,112721697,4,GO:0004427 | inorganic diphosphate phosphatase activity | molecular_function; GO:0009678 | pyrophosphate hydrolysis-driven proton transmembrane transporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:1902600 | proton transmembrane transport | biological_process
Zm00041ab139750,,,Glycine-rich RNA binding protein (Fragment),chr3,112736274,112737432,4,GO:0003723 | RNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process
Zm00033ab141710,,,C2 NT-type domain-containing protein,chr3,112745708,112750287,1,GO:0097573 | glutathione oxidoreductase activity | molecular_function
Zm00018ab139110,,,50S ribosomal protein HLP,chr3,112753502,112759443,7,GO:0003735 | structural constituent of ribosome | molecular_function; GO:0005761 | mitochondrial ribosome | cellular_component; GO:0006412 | translation | biological_process; GO:0015934 | large ribosomal subunit | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0070180 | large ribosomal subunit rRNA binding | molecular_function; GO:0098798 | mitochondrial protein-containing complex | cellular_component
Zm00027ab136100,,,Protein kinase domain-containing protein,chr3,112756047,112764906,7,GO:0004672 | protein kinase activity | molecular_function; GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0009755 | hormone-mediated signaling pathway | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00026ab134960,,,RING-H2 finger protein ATL2I,chr3,112758180,112759259,14,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0009057 | macromolecule catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0017119 | Golgi transport complex | cellular_component; GO:0043412 | macromolecule modification | biological_process; GO:0044238 | primary metabolic process | biological_process; GO:0044248 | cellular catabolic process | biological_process; GO:0044260 | cellular macromolecule metabolic process | biological_process; GO:0061630 | ubiquitin protein ligase activity | molecular_function; GO:1901565 | organonitrogen compound catabolic process | biological_process
Zm00018ab139130,,,kinesin-like protein KIN-14Q isoform X2,chr3,112760536,112765405,6,GO:0005524 | ATP binding | molecular_function; GO:0005874 | microtubule | cellular_component; GO:0007018 | microtubule-based movement | biological_process; GO:0008017 | microtubule binding | molecular_function; GO:0009507 | chloroplast | cellular_component; GO:1990939 |  | 
Zm00018ab139140,,,Pentatricopeptide repeat-containing protein,chr3,112765753,112779462,7,GO:0008168 | methyltransferase activity | molecular_function; GO:0015297 | antiporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0032259 | methylation | biological_process; GO:0042908 | xenobiotic transport | biological_process; GO:0042910 | xenobiotic transmembrane transporter activity | molecular_function; GO:0055085 | transmembrane transport | biological_process
Zm00034ab143320,,,Serine/arginine-rich SC35-like splicing factor SCL30A,chr3,112771455,112773291,4,"GO:0000398 | mRNA splicing, via spliceosome | biological_process; GO:0003723 | RNA binding | molecular_function; GO:0005737 | cytoplasm | cellular_component; GO:0016607 | nuclear speck | cellular_component"
Zm00038ab137230,,,Spindle and kinetochore-associated protein 3,chr3,112772567,112776374,6,GO:0000940 | outer kinetochore | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005819 | spindle | cellular_component; GO:0007049 | cell cycle | biological_process; GO:0007059 | chromosome segregation | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00029ab139030,,,Glycine-rich RNA binding protein (Fragment),chr3,112775486,112776636,4,GO:0003723 | RNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process
Zm00019ab128550,,,Spindle and kinetochore-associated protein 3,chr3,112778582,112781139,5,GO:0000940 | outer kinetochore | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005819 | spindle | cellular_component; GO:0007049 | cell cycle | biological_process; GO:0007059 | chromosome segregation | biological_process
Zm00018ab139150,,,Pentatricopeptide repeat-containing protein,chr3,112779358,112781751,1,GO:0016021 | integral component of membrane | cellular_component
Zm00031ab139560,,,Processing isoform 1,chr3,112784888,112789091,3,GO:0008168 | methyltransferase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0032259 | methylation | biological_process
Zm00018ab139160,,,Putative LRR receptor-like serine/threonine-protein kinase,chr3,112801234,112804067,16,GO:0002215 | defense response to nematode | biological_process; GO:0004672 | protein kinase activity | molecular_function; GO:0004888 | transmembrane signaling receptor activity | molecular_function; GO:0005515 | protein binding | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005739 | mitochondrion | cellular_component; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0009825 | multidimensional cell growth | biological_process; GO:0009845 | seed germination | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0018212 | peptidyl-tyrosine modification | biological_process; GO:0031090 | organelle membrane | cellular_component; GO:0031967 | organelle envelope | cellular_component
Zm00030ab134750,LOC542068,,Putative methyl-CpG-binding domain-containing protein 11-like,chr3,112801990,112807679,2,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component
Zm00030ab134760,,,RING-H2 finger protein ATL70,chr3,112807416,112808588,9,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00018ab139180,,,DIMBOA UDP-glucosyltransferase BX8,chr3,112814347,112814832,2,GO:0080043 | quercetin 3-O-glucosyltransferase activity | molecular_function; GO:0080044 | quercetin 7-O-glucosyltransferase activity | molecular_function
Zm00020ab135670,,,Long chain base biosynthesis protein 2a,chr3,112818669,112819999,5,GO:0004758 | serine C-palmitoyltransferase activity | molecular_function; GO:0005789 | endoplasmic reticulum membrane | cellular_component; GO:0006665 | sphingolipid metabolic process | biological_process; GO:0009058 | biosynthetic process | biological_process; GO:0030170 | pyridoxal phosphate binding | molecular_function
Zm00018ab139190,,,Transcriptional regulator of RNA polII SAGA subunit,chr3,112829376,112831320,6,GO:0003713 | transcription coactivator activity | molecular_function; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process; GO:0070461 | SAGA-type complex | cellular_component; GO:1905368 | peptidase complex | cellular_component
Zm00018ab139200,,,Keratin,chr3,112835359,112836513,1,GO:0016021 | integral component of membrane | cellular_component
Zm00042ab138740,,,Ubiquitin carboxyl-terminal hydrolase,chr3,112857785,112867022,4,GO:0004843 | cysteine-type deubiquitinase activity | molecular_function; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016579 | protein deubiquitination | biological_process
Zm00031ab139580,,,C2 NT-type domain-containing protein,chr3,112857933,112862509,1,GO:0097573 | glutathione oxidoreductase activity | molecular_function
Zm00022ab135860,,,,chr3,112858561,112861872,1,GO:0005618 | cell wall | cellular_component
Zm00001eb134750,,,H( )-exporting diphosphatase,chr3,112861718,112863663,4,GO:0004427 | inorganic diphosphate phosphatase activity | molecular_function; GO:0009678 | pyrophosphate hydrolysis-driven proton transmembrane transporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:1902600 | proton transmembrane transport | biological_process
Zm00039ab136180,,,glycosyltransferase BC10,chr3,112867694,112869617,2,GO:0016020 | membrane | cellular_component; GO:0016757 | glycosyltransferase activity | molecular_function
Zm00026ab134970,,,Putative LRR receptor-like serine/threonine-protein kinase,chr3,112873249,112879163,9,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0006955 | immune response | biological_process; GO:0008299 | isoprenoid biosynthetic process | biological_process; GO:0009755 | hormone-mediated signaling pathway | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0050832 | defense response to fungus | biological_process
Zm00021ab135680,,,9-cis-epoxycarotenoid dioxygenase,chr3,112873783,112876526,5,"GO:0009570 | chloroplast stroma | cellular_component; GO:0009688 | abscisic acid biosynthetic process | biological_process; GO:0016121 | carotene catabolic process | biological_process; GO:0016702 | oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen | molecular_function; GO:0046872 | metal ion binding | molecular_function"
Zm00030ab134790,,,RING-H2 finger protein ATL2I,chr3,112876259,112877364,10,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00035ab139020,,,Serine/threonine-protein phosphatase,chr3,112887891,112898516,6,GO:0005634 | nucleus | cellular_component; GO:0006470 | protein dephosphorylation | biological_process; GO:0009742 | brassinosteroid mediated signaling pathway | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0106306 |  | ; GO:0106307 |  | 
Zm00037ab134960,,,Long chain base biosynthesis protein 2d,chr3,112889888,112890625,4,GO:0009058 | biosynthetic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016740 | transferase activity | molecular_function; GO:0030170 | pyridoxal phosphate binding | molecular_function
Zm00041ab139780,,,Longin domain-containing protein,chr3,112896398,112896856,2,GO:0005737 | cytoplasm | cellular_component; GO:0016020 | membrane | cellular_component
Zm00018ab139210,,,Zinc finger protein 1,chr3,112896899,112897976,1,GO:0009788 | negative regulation of abscisic acid-activated signaling pathway | biological_process
Zm00035ab139030,,,K( ) efflux antiporter 3,chr3,112899413,112905131,9,GO:0006813 | potassium ion transport | biological_process; GO:0009535 | chloroplast thylakoid membrane | cellular_component; GO:0009643 | photosynthetic acclimation | biological_process; GO:0009658 | chloroplast organization | biological_process; GO:0009941 | chloroplast envelope | cellular_component; GO:0015299 | solute:proton antiporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:1902600 | proton transmembrane transport | biological_process; GO:1905157 | positive regulation of photosynthesis | biological_process
Zm00035ab139040,,,Cyclic nucleotide-binding domain-containing protein,chr3,112901023,112907603,10,GO:0005216 | ion channel activity | molecular_function; GO:0005244 | voltage-gated ion channel activity | molecular_function; GO:0005516 | calmodulin binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0009860 | pollen tube growth | biological_process; GO:0015079 | potassium ion transmembrane transporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0030552 | cAMP binding | molecular_function; GO:0030553 | cGMP binding | molecular_function; GO:0071805 | potassium ion transmembrane transport | biological_process
Zm00020ab135680,,,C2 NT-type domain-containing protein,chr3,112902297,112907156,1,GO:0097573 | glutathione oxidoreductase activity | molecular_function
Zm00023ab138140,,,probable serine/threonine protein kinase IRE,chr3,112905730,112910632,9,GO:0004497 | monooxygenase activity | molecular_function; GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0006468 | protein phosphorylation | biological_process; GO:0009826 | unidimensional cell growth | biological_process; GO:0010857 | calcium-dependent protein kinase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0018209 | peptidyl-serine modification | biological_process; GO:0035556 | intracellular signal transduction | biological_process
Zm00033ab141730,LOC542068,,Putative methyl-CpG-binding domain-containing protein 11-like,chr3,112925752,112932385,2,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component
Zm00033ab141740,,,RING-H2 finger protein ATL70,chr3,112931168,112932329,9,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00032ab138410,,,Integral membrane HRF1 family protein,chr3,112938408,112941692,8,GO:0005789 | endoplasmic reticulum membrane | cellular_component; GO:0005793 | endoplasmic reticulum-Golgi intermediate compartment | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0006888 | endoplasmic reticulum to Golgi vesicle-mediated transport | biological_process; GO:0015031 | protein transport | biological_process; GO:0030134 | COPII-coated ER to Golgi transport vesicle | cellular_component; GO:0031301 | integral component of organelle membrane | cellular_component; GO:0098588 | bounding membrane of organelle | cellular_component
Zm00037ab134970,,,C2 NT-type domain-containing protein,chr3,112944000,112948682,1,GO:0097573 | glutathione oxidoreductase activity | molecular_function
Zm00018ab139230,,,Methyl-CpG-binding domain-containing protein 13,chr3,112947656,112951182,2,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component
Zm00041ab139790,,,,chr3,112952396,112956465,7,GO:0004842 | ubiquitin-protein transferase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0034657 | GID complex | cellular_component; GO:0040029 | epigenetic regulation of gene expression | biological_process; GO:0043161 | proteasome-mediated ubiquitin-dependent protein catabolic process | biological_process
Zm00036ab138530,,,Ubiquitin carboxyl-terminal hydrolase 8 (Fragment),chr3,112952866,112962066,4,GO:0004843 | cysteine-type deubiquitinase activity | molecular_function; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016579 | protein deubiquitination | biological_process
Zm00030ab134820,,,Protein kinase domain-containing protein,chr3,112957467,112966379,7,GO:0004672 | protein kinase activity | molecular_function; GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0009755 | hormone-mediated signaling pathway | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00018ab139240,,,Cyclin N-terminal domain-containing protein,chr3,112959387,112962050,7,GO:0000079 | regulation of cyclin-dependent protein serine/threonine kinase activity | biological_process; GO:0000307 | cyclin-dependent protein kinase holoenzyme complex | cellular_component; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0007049 | cell cycle | biological_process; GO:0016538 | cyclin-dependent protein serine/threonine kinase regulator activity | molecular_function; GO:0051301 | cell division | biological_process
Zm00033ab141750,,,RING-H2 finger protein ATL2I,chr3,112986793,112987674,10,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00028ab137730,,,H( )-exporting diphosphatase,chr3,113012549,113013100,4,GO:0004427 | inorganic diphosphate phosphatase activity | molecular_function; GO:0009678 | pyrophosphate hydrolysis-driven proton transmembrane transporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:1902600 | proton transmembrane transport | biological_process
Zm00028ab137740,,,H( )-exporting diphosphatase,chr3,113013084,113015234,7,GO:0004427 | inorganic diphosphate phosphatase activity | molecular_function; GO:0005774 | vacuolar membrane | cellular_component; GO:0009678 | pyrophosphate hydrolysis-driven proton transmembrane transporter activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016491 | oxidoreductase activity | molecular_function; GO:0046872 | metal ion binding | molecular_function; GO:1902600 | proton transmembrane transport | biological_process
Zm00031ab139600,LOC542068,,Putative methyl-CpG-binding domain-containing protein 11-like,chr3,113013675,113019379,2,GO:0003677 | DNA binding | molecular_function; GO:0005634 | nucleus | cellular_component
100281136,LOC100281136,LOC100281136,uncharacterized LOC100281136,chr3,113015601,113017854,2,"GO:0016702 | oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen | molecular_function; GO:0046872 | metal ion binding | molecular_function"
Zm00032ab138420,,,Spindle and kinetochore-associated protein 3,chr3,113016362,113018788,6,GO:0000940 | outer kinetochore | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0005819 | spindle | cellular_component; GO:0007049 | cell cycle | biological_process; GO:0007059 | chromosome segregation | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00001eb134770,,,,chr3,113017588,113018576,1,GO:0016021 | integral component of membrane | cellular_component
Zm00031ab139610,,,RING-H2 finger protein ATL70,chr3,113019406,113020120,9,GO:0005768 | endosome | cellular_component; GO:0005802 | trans-Golgi network | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0006623 | protein targeting to vacuole | biological_process; GO:0006896 | Golgi to vacuole transport | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016567 | protein ubiquitination | biological_process; GO:0017119 | Golgi transport complex | cellular_component; GO:0061630 | ubiquitin protein ligase activity | molecular_function
Zm00025ab139100,,,Ubiquitin carboxyl-terminal hydrolase,chr3,113029919,113039001,4,GO:0004843 | cysteine-type deubiquitinase activity | molecular_function; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016579 | protein deubiquitination | biological_process
Zm00040ab144100,,,Serine/threonine-protein phosphatase,chr3,113047342,113057773,6,GO:0005634 | nucleus | cellular_component; GO:0006470 | protein dephosphorylation | biological_process; GO:0009742 | brassinosteroid mediated signaling pathway | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0106306 |  | ; GO:0106307 |  | 
Zm00026ab134980,,,glycosyltransferase BC10,chr3,113065112,113067845,2,GO:0016020 | membrane | cellular_component; GO:0016757 | glycosyltransferase activity | molecular_function
Zm00033ab141780,,,Protein kinase domain-containing protein,chr3,113068094,113076948,7,GO:0004672 | protein kinase activity | molecular_function; GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0009755 | hormone-mediated signaling pathway | biological_process; GO:0016021 | integral component of membrane | cellular_component
