primaryIdentifier,symbol,name,description,chr,start,end,n_go,go_terms
Zm00034ab336640,,,Heat stress transcription factor B-4,chr7,126782461,126784346,8,GO:0001067 | transcription regulatory region nucleic acid binding | molecular_function; GO:0003690 | double-stranded DNA binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0008356 | asymmetric cell division | biological_process; GO:0043565 | sequence-specific DNA binding | molecular_function
Zm00033ab334030,,,Hexosyltransferase,chr7,126786105,126789236,5,GO:0000139 | Golgi membrane | cellular_component; GO:0006486 | protein glycosylation | biological_process; GO:0008194 | UDP-glycosyltransferase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016758 | hexosyltransferase activity | molecular_function
Zm00020ab319820,,,Putative carboxylesterase 12,chr7,126787382,126789123,1,GO:0016787 | hydrolase activity | molecular_function
Zm00027ab320000,,,Transcription factor AIG1,chr7,126788588,126789737,3,GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0046983 | protein dimerization activity | molecular_function
Zm00027ab320010,,,Carbonic anhydrase,chr7,126789502,126794461,3,GO:0004089 | carbonate dehydratase activity | molecular_function; GO:0008270 | zinc ion binding | molecular_function; GO:0015976 | carbon utilization | biological_process
Zm00042ab329400,,,O-fucosyltransferase family protein,chr7,126792461,126798871,4,GO:0005737 | cytoplasm | cellular_component; GO:0006004 | fucose metabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016740 | transferase activity | molecular_function
Zm00028ab323630,,,Plant-specific domain TIGR01570 family protein,chr7,126794413,126796215,1,GO:0010274 | hydrotropism | biological_process
Zm00027ab320020,,,DNA-damage-repair/toleration protein DRT111,chr7,126796481,126800253,5,"GO:0003723 | RNA binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0009507 | chloroplast | cellular_component; GO:0043484 | regulation of RNA splicing | biological_process; GO:0045292 | mRNA cis splicing, via spliceosome | biological_process"
Zm00023ab324400,,,Protein indeterminate-domain 14,chr7,126798392,126801981,5,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0009630 | gravitropism | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00042ab329410,MED20,,Mediator of RNA polymerase II transcription subunit 20,chr7,126801066,126805588,4,GO:0003712 | transcription coregulator activity | molecular_function; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0016592 | mediator complex | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process
Zm00029ab329990,,,1-aminocyclopropane-1-carboxylate oxidase (Fragment),chr7,126810042,126812393,6,GO:0009692 | ethylene metabolic process | biological_process; GO:0009835 | fruit ripening | biological_process; GO:0016491 | oxidoreductase activity | molecular_function; GO:0031418 | L-ascorbic acid binding | molecular_function; GO:0043450 | alkene biosynthetic process | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00039ab321540,,,Transcription factor HEC1,chr7,126817077,126818374,8,"GO:0000978 | RNA polymerase II cis-regulatory region sequence-specific DNA binding | molecular_function; GO:0000981 | DNA-binding transcription factor activity, RNA polymerase II-specific | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0006006 | glucose metabolic process | biological_process; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0046983 | protein dimerization activity | molecular_function; GO:0080048 | GDP-D-glucose phosphorylase activity | molecular_function"
Zm00021ab320240,,,Thiamine-phosphate synthase,chr7,126829012,126830366,4,GO:0005783 | endoplasmic reticulum | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0016020 | membrane | cellular_component; GO:0016192 | vesicle-mediated transport | biological_process
Zm00033ab334040,,,Thiamine-phosphate synthase,chr7,126830333,126831279,4,GO:0005783 | endoplasmic reticulum | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0016020 | membrane | cellular_component; GO:0016192 | vesicle-mediated transport | biological_process
Zm00037ab319140,,,Transcription factor HEC1,chr7,126830581,126831888,8,"GO:0000978 | RNA polymerase II cis-regulatory region sequence-specific DNA binding | molecular_function; GO:0000981 | DNA-binding transcription factor activity, RNA polymerase II-specific | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0006006 | glucose metabolic process | biological_process; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0046983 | protein dimerization activity | molecular_function; GO:0080048 | GDP-D-glucose phosphorylase activity | molecular_function"
Zm00021ab320250,,,Putative thylakoidal processing peptidase 2,chr7,126831490,126834075,6,GO:0003676 | nucleic acid binding | molecular_function; GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0005887 | integral component of plasma membrane | cellular_component; GO:0006465 | signal peptide processing | biological_process; GO:0009535 | chloroplast thylakoid membrane | cellular_component; GO:0010027 | thylakoid membrane organization | biological_process
Zm00033ab334050,,,Putative thylakoidal processing peptidase 2,chr7,126832548,126835129,6,GO:0003676 | nucleic acid binding | molecular_function; GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0005887 | integral component of plasma membrane | cellular_component; GO:0006465 | signal peptide processing | biological_process; GO:0009535 | chloroplast thylakoid membrane | cellular_component; GO:0010027 | thylakoid membrane organization | biological_process
Zm00030ab316150,,,Protein GAMETE EXPRESSED 1,chr7,126838547,126842017,11,GO:0003676 | nucleic acid binding | molecular_function; GO:0004837 | tyrosine decarboxylase activity | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006520 | cellular amino acid metabolic process | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0009553 | embryo sac development | biological_process; GO:0009555 | pollen development | biological_process; GO:0009793 | embryo development ending in seed dormancy | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0030170 | pyridoxal phosphate binding | molecular_function; GO:0042802 | identical protein binding | molecular_function
Zm00021ab320260,,,Nuclear pore complex protein NUP58,chr7,126841447,126845976,6,GO:0005643 | nuclear pore | cellular_component; GO:0006913 | nucleocytoplasmic transport | biological_process; GO:0008139 | nuclear localization sequence binding | molecular_function; GO:0015031 | protein transport | biological_process; GO:0017056 | structural constituent of nuclear pore | molecular_function; GO:0051028 | mRNA transport | biological_process
Zm00025ab327340,,,Nucleic acid binding protein (Fragment),chr7,126841892,126846700,5,GO:0003723 | RNA binding | molecular_function; GO:0004852 | uroporphyrinogen-III synthase activity | molecular_function; GO:0005829 | cytosol | cellular_component; GO:0006782 | protoporphyrinogen IX biosynthetic process | biological_process; GO:1990904 | ribonucleoprotein complex | cellular_component
Zm00032ab328810,,,Subtilisin-like protease,chr7,126843908,126846857,6,GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0005618 | cell wall | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0006508 | proteolysis | biological_process; GO:0009506 | plasmodesma | cellular_component; GO:0016021 | integral component of membrane | cellular_component
Zm00019ab302620,,,PDAT,chr7,126847295,126853486,8,GO:0005773 | vacuole | cellular_component; GO:0005783 | endoplasmic reticulum | cellular_component; GO:0006629 | lipid metabolic process | biological_process; GO:0008374 | O-acyltransferase activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0044249 | cellular biosynthetic process | biological_process; GO:0046027 | phospholipid:diacylglycerol acyltransferase activity | molecular_function; GO:1901576 | organic substance biosynthetic process | biological_process
Zm00032ab328820,,,Flavonoid 3'-monooxygenase,chr7,126854080,126856244,5,"GO:0004497 | monooxygenase activity | molecular_function; GO:0005506 | iron ion binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016705 | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen | molecular_function; GO:0020037 | heme binding | molecular_function"
Zm00039ab321560,,,Tuliposide A-converting enzyme b1,chr7,126859014,126860586,1,GO:0016787 | hydrolase activity | molecular_function
Zm00032ab328840,,,,chr7,126859208,126859898,1,GO:0005516 | calmodulin binding | molecular_function
Zm00037ab319150,,,NF-kappa-B-activating protein,chr7,126859944,126861768,4,GO:0003682 | chromatin binding | molecular_function; GO:0005731 | nucleolus organizer region | cellular_component; GO:0044030 | regulation of DNA methylation | biological_process; GO:2000232 | regulation of rRNA processing | biological_process
Zm00038ab322700,BKI1,,BRI1 kinase inhibitor 1,chr7,126861598,126862787,7,GO:0005886 | plasma membrane | cellular_component; GO:0006629 | lipid metabolic process | biological_process; GO:0009742 | brassinosteroid mediated signaling pathway | biological_process; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0019210 | kinase inhibitor activity | molecular_function; GO:0043086 | negative regulation of catalytic activity | biological_process
Zm00037ab319160,,,Tuliposide A-converting enzyme b1,chr7,126863047,126864573,1,GO:0016787 | hydrolase activity | molecular_function
Zm00022ab320720,,,Asparate aminotransferase,chr7,126864899,126869999,9,GO:0009058 | biosynthetic process | biological_process; GO:0009507 | chloroplast | cellular_component; GO:0010181 | FMN binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016212 | kynurenine-oxoglutarate transaminase activity | molecular_function; GO:0016491 | oxidoreductase activity | molecular_function; GO:0016829 | lyase activity | molecular_function; GO:0030170 | pyridoxal phosphate binding | molecular_function; GO:0097052 | L-kynurenine metabolic process | biological_process
Zm00030ab316160,,,GTP diphosphokinase,chr7,126866065,126869805,8,GO:0005524 | ATP binding | molecular_function; GO:0005525 | GTP binding | molecular_function; GO:0008728 | GTP diphosphokinase activity | molecular_function; GO:0009507 | chloroplast | cellular_component; GO:0015969 | guanosine tetraphosphate metabolic process | biological_process; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0016787 | hydrolase activity | molecular_function
Zm00025ab327350,,,Protein kinase domain containing protein,chr7,126873924,126875154,3,GO:0004672 | protein kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0006468 | protein phosphorylation | biological_process
Zm00022ab320750,,,Phosphatidylinositol 4-phosphate 5-kinase 1,chr7,126877193,126880675,11,"GO:0005829 | cytosol | cellular_component; GO:0008168 | methyltransferase activity | molecular_function; GO:0009658 | chloroplast organization | biological_process; GO:0009707 | chloroplast outer membrane | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0016301 | kinase activity | molecular_function; GO:0016310 | phosphorylation | biological_process; GO:0032259 | methylation | biological_process; GO:0035452 | extrinsic component of plastid membrane | cellular_component; GO:0043572 | plastid fission | biological_process; GO:0048578 | positive regulation of long-day photoperiodism, flowering | biological_process"
Zm00025ab327360,,,Carboxypeptidase,chr7,126877680,126878549,4,GO:0004185 | serine-type carboxypeptidase activity | molecular_function; GO:0005576 | extracellular region | cellular_component; GO:0005773 | vacuole | cellular_component; GO:0006508 | proteolysis | biological_process
Zm00033ab334060,,,Nuclear pore complex protein NUP58,chr7,126877921,126881666,6,GO:0005643 | nuclear pore | cellular_component; GO:0006913 | nucleocytoplasmic transport | biological_process; GO:0008139 | nuclear localization sequence binding | molecular_function; GO:0015031 | protein transport | biological_process; GO:0017056 | structural constituent of nuclear pore | molecular_function; GO:0051028 | mRNA transport | biological_process
Zm00039ab321570,,,,chr7,126880585,126885516,1,GO:0016021 | integral component of membrane | cellular_component
Zm00026ab318550,,,Protein disulfide-isomerase,chr7,126885437,126890887,10,"GO:0005506 | iron ion binding | molecular_function; GO:0005783 | endoplasmic reticulum | cellular_component; GO:0006950 | response to stress | biological_process; GO:0009055 | electron transfer activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016864 | intramolecular oxidoreductase activity, transposing S-S bonds | molecular_function; GO:0020037 | heme binding | molecular_function; GO:0022900 | electron transport chain | biological_process; GO:0070013 | intracellular organelle lumen | cellular_component; GO:0140096 | catalytic activity, acting on a protein | molecular_function"
Zm00029ab330000,,,Protein disulfide-isomerase,chr7,126886497,126891626,8,"GO:0005506 | iron ion binding | molecular_function; GO:0005788 | endoplasmic reticulum lumen | cellular_component; GO:0009055 | electron transfer activity | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016864 | intramolecular oxidoreductase activity, transposing S-S bonds | molecular_function; GO:0020037 | heme binding | molecular_function; GO:0022900 | electron transport chain | biological_process; GO:0140096 | catalytic activity, acting on a protein | molecular_function"
Zm00023ab324410,,,SecE/sec61-gamma subunit of protein translocation complex protein,chr7,126888623,126890352,5,GO:0006605 | protein targeting | biological_process; GO:0009528 | plastid inner membrane | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0071806 | protein transmembrane transport | biological_process; GO:0090351 | seedling development | biological_process
Zm00023ab324420,,,65-kDa microtubule-associated protein 6-like isoform X1,chr7,126891103,126897202,5,GO:0000226 | microtubule cytoskeleton organization | biological_process; GO:0005737 | cytoplasm | cellular_component; GO:0005819 | spindle | cellular_component; GO:0005874 | microtubule | cellular_component; GO:0008017 | microtubule binding | molecular_function
Zm00035ab327170,,,BREVIS RADIX transcription factor,chr7,126892725,126897174,1,GO:0005634 | nucleus | cellular_component
Zm00026ab318570,,,GeBP-type transcription factor (Fragment),chr7,126893188,126894855,2,GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process
Zm00036ab324520,,,Protein SHOOT GRAVITROPISM 5,chr7,126893494,126897110,4,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0009630 | gravitropism | biological_process
Zm00027ab320060,,,PPC domain-containing protein,chr7,126897536,126899343,6,GO:0003680 | minor groove of adenine-thymine-rich DNA binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0010228 | vegetative to reproductive phase transition of meristem | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00020ab319840,CXE2,,Tuliposide A-converting enzyme 2,chr7,126897836,126900183,2,GO:0016787 | hydrolase activity | molecular_function; GO:0033987 | 2-hydroxyisoflavanone dehydratase activity | molecular_function
Zm00034ab336650,,,Transcription factor HEC1,chr7,126905042,126906350,8,"GO:0000978 | RNA polymerase II cis-regulatory region sequence-specific DNA binding | molecular_function; GO:0000981 | DNA-binding transcription factor activity, RNA polymerase II-specific | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005737 | cytoplasm | cellular_component; GO:0006006 | glucose metabolic process | biological_process; GO:0006357 | regulation of transcription by RNA polymerase II | biological_process; GO:0046983 | protein dimerization activity | molecular_function; GO:0080048 | GDP-D-glucose phosphorylase activity | molecular_function"
Zm00041ab327970,,,Mitochondrial phosphate carrier protein 3,chr7,126906020,126908117,8,GO:0003729 | mRNA binding | molecular_function; GO:0005315 | inorganic phosphate transmembrane transporter activity | molecular_function; GO:0009651 | response to salt stress | biological_process; GO:0015711 | organic anion transport | biological_process; GO:0015748 | organophosphate ester transport | biological_process; GO:0031305 | integral component of mitochondrial inner membrane | cellular_component; GO:0071705 | nitrogen compound transport | biological_process; GO:1990547 | mitochondrial phosphate ion transmembrane transport | biological_process
Zm00029ab330010,,,GLABROUS1 enhancer-binding protein-like,chr7,126907597,126909302,2,GO:0005634 | nucleus | cellular_component; GO:0006355 | regulation of DNA-templated transcription | biological_process
Zm00035ab327180,,,Plant viral-response family protein-like,chr7,126909284,126910628,1,GO:0016021 | integral component of membrane | cellular_component
Zm00031ab327500,,,Oxidoreductase/ transition metal ion binding protein,chr7,126919914,126920923,2,GO:0006979 | response to oxidative stress | biological_process; GO:0016021 | integral component of membrane | cellular_component
Zm00030ab316170,,,,chr7,126927242,126927733,3,GO:0005746 | mitochondrial respirasome | cellular_component; GO:0031305 | integral component of mitochondrial inner membrane | cellular_component; GO:0033617 | mitochondrial cytochrome c oxidase assembly | biological_process
Zm00035ab327190,,,Plant viral-response family protein-like,chr7,126927872,126929148,1,GO:0016021 | integral component of membrane | cellular_component
Zm00030ab316180,,,LysM domain-containing GPI-anchored protein 1,chr7,126928013,126929083,1,GO:0016021 | integral component of membrane | cellular_component
Zm00030ab316190,,,NAD-dependent deacetylase sirtuin-1,chr7,126929179,126933105,1,GO:0016021 | integral component of membrane | cellular_component
Zm00037ab319170,,,,chr7,126929482,126934431,1,GO:0016021 | integral component of membrane | cellular_component
Zm00036ab324530,,,SecE/sec61-gamma subunit of protein translocation complex protein,chr7,126929543,126931170,5,GO:0006605 | protein targeting | biological_process; GO:0009528 | plastid inner membrane | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0071806 | protein transmembrane transport | biological_process; GO:0090351 | seedling development | biological_process
Zm00024ab321170,,,Brevis radix,chr7,126930681,126934928,1,GO:0005634 | nucleus | cellular_component
Zm00027ab320070,,,Ubiquitin carboxyl-terminal hydrolase 17,chr7,126931271,126948589,7,GO:0004197 | cysteine-type endopeptidase activity | molecular_function; GO:0004843 | cysteine-type deubiquitinase activity | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0005829 | cytosol | cellular_component; GO:0006511 | ubiquitin-dependent protein catabolic process | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0016579 | protein deubiquitination | biological_process
Zm00001eb314120,,,Subtilisin-like protease,chr7,126932601,126935542,6,GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0005618 | cell wall | cellular_component; GO:0005794 | Golgi apparatus | cellular_component; GO:0006508 | proteolysis | biological_process; GO:0009506 | plasmodesma | cellular_component; GO:0016021 | integral component of membrane | cellular_component
100191879,LOC100191879,LOC100191879,uncharacterized LOC100191879,chr7,126932694,126935442,2,GO:0004252 | serine-type endopeptidase activity | molecular_function; GO:0006508 | proteolysis | biological_process
Zm00018ab330210,,,ABSCISIC ACID-INSENSITIVE 5-like protein 5,chr7,126934612,126950343,6,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005515 | protein binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0009738 | abscisic acid-activated signaling pathway | biological_process; GO:0045893 | positive regulation of DNA-templated transcription | biological_process
Zm00032ab328850,,,Keratin-associated protein 5-4,chr7,126937120,126942370,2,GO:0005882 | intermediate filament | cellular_component; GO:0007186 | G protein-coupled receptor signaling pathway | biological_process
Zm00036ab324540,,,65-kDa microtubule-associated protein 6-like isoform X1,chr7,126940144,126945850,5,GO:0000226 | microtubule cytoskeleton organization | biological_process; GO:0005737 | cytoplasm | cellular_component; GO:0005819 | spindle | cellular_component; GO:0005874 | microtubule | cellular_component; GO:0008017 | microtubule binding | molecular_function
Zm00034ab336660,,,NF-kappa-B-activating protein,chr7,126943514,126945337,4,GO:0003682 | chromatin binding | molecular_function; GO:0005731 | nucleolus organizer region | cellular_component; GO:0044030 | regulation of DNA methylation | biological_process; GO:2000232 | regulation of rRNA processing | biological_process
Zm00038ab322710,,,Protein-serine/threonine phosphatase,chr7,126944195,126949234,5,GO:0006464 |  | ; GO:0016311 | dephosphorylation | biological_process; GO:0046872 | metal ion binding | molecular_function; GO:0106306 |  | ; GO:0106307 |  | 
Zm00035ab327200,,,Zinc finger protein 8,chr7,126944405,126945670,4,GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0006355 | regulation of DNA-templated transcription | biological_process; GO:0009739 | response to gibberellin | biological_process; GO:0010090 | trichome morphogenesis | biological_process
Zm00034ab336670,,,Tuliposide A-converting enzyme b1,chr7,126946615,126948100,1,GO:0016787 | hydrolase activity | molecular_function
Zm00042ab329420,,,,chr7,126948509,126949933,2,GO:0005886 | plasma membrane | cellular_component; GO:0009734 | auxin-activated signaling pathway | biological_process
Zm00029ab330020,,,Heme-binding-like protein chloroplastic,chr7,126948878,126950318,4,GO:0009535 | chloroplast thylakoid membrane | cellular_component; GO:0010287 | plastoglobule | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0020037 | heme binding | molecular_function
Zm00040ab335540,,,ABSCISIC ACID-INSENSITIVE 5-like protein 5,chr7,126953860,126969669,7,GO:0000976 | transcription cis-regulatory region binding | molecular_function; GO:0003700 | DNA-binding transcription factor activity | molecular_function; GO:0005515 | protein binding | molecular_function; GO:0005634 | nucleus | cellular_component; GO:0009738 | abscisic acid-activated signaling pathway | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0045893 | positive regulation of DNA-templated transcription | biological_process
Zm00026ab318580,,,Heme-binding-like protein chloroplastic,chr7,126955096,126956536,2,GO:0010287 | plastoglobule | cellular_component; GO:0020037 | heme binding | molecular_function
Zm00033ab334070,,,Asparate aminotransferase,chr7,126956100,126961131,9,GO:0009058 | biosynthetic process | biological_process; GO:0009507 | chloroplast | cellular_component; GO:0010181 | FMN binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016212 | kynurenine-oxoglutarate transaminase activity | molecular_function; GO:0016491 | oxidoreductase activity | molecular_function; GO:0016829 | lyase activity | molecular_function; GO:0030170 | pyridoxal phosphate binding | molecular_function; GO:0097052 | L-kynurenine metabolic process | biological_process
Zm00001eb314130,,,Flavonoid 3'-monooxygenase,chr7,126956402,126958835,5,"GO:0004497 | monooxygenase activity | molecular_function; GO:0005506 | iron ion binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016705 | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen | molecular_function; GO:0020037 | heme binding | molecular_function"
103632819,LOC103632819,LOC103632819,,chr7,126956534,126958827,4,"GO:0004497 | monooxygenase activity | molecular_function; GO:0005506 | iron ion binding | molecular_function; GO:0016705 | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen | molecular_function; GO:0020037 | heme binding | molecular_function"
Zm00024ab321180,,,Plant viral-response family protein-like,chr7,126961848,126963150,1,GO:0016021 | integral component of membrane | cellular_component
Zm00001eb314150,,,,chr7,126961887,126962517,1,GO:0005516 | calmodulin binding | molecular_function
Zm00041ab327980,,,Receptor-like serine/threonine-protein kinase,chr7,126962955,126966206,9,GO:0004674 | protein serine/threonine kinase activity | molecular_function; GO:0004712 | protein serine/threonine/tyrosine kinase activity | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0005886 | plasma membrane | cellular_component; GO:0006468 | protein phosphorylation | biological_process; GO:0016021 | integral component of membrane | cellular_component; GO:0030246 | carbohydrate binding | molecular_function; GO:0048544 | recognition of pollen | biological_process; GO:0106310 | protein serine kinase activity | molecular_function
Zm00021ab320270,,,Asparate aminotransferase,chr7,126965722,126970840,10,GO:0009058 | biosynthetic process | biological_process; GO:0009507 | chloroplast | cellular_component; GO:0010181 | FMN binding | molecular_function; GO:0016021 | integral component of membrane | cellular_component; GO:0016212 | kynurenine-oxoglutarate transaminase activity | molecular_function; GO:0016491 | oxidoreductase activity | molecular_function; GO:0030170 | pyridoxal phosphate binding | molecular_function; GO:0047316 | glutamine-phenylpyruvate transaminase activity | molecular_function; GO:0047804 | cysteine-S-conjugate beta-lyase activity | molecular_function; GO:0097052 | L-kynurenine metabolic process | biological_process
Zm00024ab321200,,,Plant viral-response family protein-like,chr7,126966935,126968164,1,GO:0016021 | integral component of membrane | cellular_component
Zm00023ab324440,,,1-aminocyclopropane-1-carboxylate oxidase (Fragment),chr7,126967865,126969212,6,GO:0009692 | ethylene metabolic process | biological_process; GO:0009835 | fruit ripening | biological_process; GO:0016491 | oxidoreductase activity | molecular_function; GO:0031418 | L-ascorbic acid binding | molecular_function; GO:0043450 | alkene biosynthetic process | biological_process; GO:0046872 | metal ion binding | molecular_function
Zm00031ab327510,,,AAA domain-containing protein,chr7,126974022,126977153,5,GO:0005509 | calcium ion binding | molecular_function; GO:0005524 | ATP binding | molecular_function; GO:0009507 | chloroplast | cellular_component; GO:0016021 | integral component of membrane | cellular_component; GO:0140603 |  | 
Zm00038ab322730,,,prostaglandin reductase-3,chr7,126976914,126989508,3,GO:0006979 | response to oxidative stress | biological_process; GO:0008270 | zinc ion binding | molecular_function; GO:0016491 | oxidoreductase activity | molecular_function
