lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi,Env.Tester,FPCA_type,Env,Tester,ci_width
2,FPC2_NGRDI,2,175475704,6.05241141571907,157679334,185569800,IAH4.2021.PHZ51,DAP,IAH4.2021,PHZ51,27890466
1,FPC1_NGRDI,3,168450310,7.21343877904738,162945609,181311332,MIH1.2020.PHP02,DAP,MIH1.2020,PHP02,18365723
1,FPC1_NGRDI,5,100854185,7.93945719369304,94297203,125663489,MIH1.2020.PHP02,DAP,MIH1.2020,PHP02,31366286
1,FPC1_NGRDI,7,132149906,6.99172295356194,131549183,138089853,MIH1.2020.PHP02,DAP,MIH1.2020,PHP02,6540670
2,FPC2_NGRDI,1,301966721,6.31914505665893,286712118,303836163,MIH1.2020.PHP02,DAP,MIH1.2020,PHP02,17124045
3,FPC3_NGRDI,3,186200893,6.55232975435598,183586672,188228490,MNH1.2020.PHP02,DAP,MNH1.2020,PHP02,4641818
1,FPC1_NGRDI,3,181126198,6.80650939348288,158251508,183018279,MNH1.2021.PHP02,DAP,MNH1.2021,PHP02,24766771
1,FPC1_NGRDI,8,177509239,7.21079259702059,176765535,178147679,MNH1.2021.PHP02,DAP,MNH1.2021,PHP02,1382144
4,FPC4_NGRDI,8,5178967,6.92653190840411,3642304,6594507,MOH1.2020.PHK76,DAP,MOH1.2020,PHK76,2952203
1,FPC1_NGRDI,3,125624844,6.52895271964672,112559472,136385497,NEH1.2021.PHZ51,DAP,NEH1.2021,PHZ51,23826025
1,FPC1_NGRDI,4,11084503,7.27827848285644,10904622,11269491,NEH1.2021.PHZ51,DAP,NEH1.2021,PHZ51,364869
3,FPC3_NGRDI,4,133978758,6.36187296541944,31061165,135890166,TXH2.2021.PHZ51,DAP,TXH2.2021,PHZ51,104829001
1,FPC1_NGRDI,3,181251147,7.34026590458922,180482408,184794196,TXH3.2020.PHZ51,DAP,TXH3.2020,PHZ51,4311788
5,FPC5_NGRDI,3,183635875,6.33442172647733,180482408,184794196,TXH3.2020.PHZ51,DAP,TXH3.2020,PHZ51,4311788
2,FPC2_NGRDI,4,177081651,6.37279034227723,176531093,178781446,TXH3.2021.PHZ51,DAP,TXH3.2021,PHZ51,2250353
4,FPC4_NGRDI,2,2532384,6.13734594612367,2405184,5439778,WIH1.2020.PHP02,DAP,WIH1.2020,PHP02,3034594
5,FPC5_NGRDI,4,10901482,7.34802458560553,10855098,10937431,WIH1.2020.PHP02,DAP,WIH1.2020,PHP02,82333
1,FPC1_NGRDI,2,187653255,7.36122216682937,168930255,191652493,WIH1.2021.PHP02,DAP,WIH1.2021,PHP02,22722238
1,FPC1_NGRDI,2,82310208,6.12346166287426,61745535,140381504,WIH2.2020.PHK76,DAP,WIH2.2020,PHK76,78635969
1,FPC1_NGRDI,7,131668014,7.04852359622912,131435255,136575976,WIH2.2020.PHK76,DAP,WIH2.2020,PHK76,5140721
2,FPC2_NGRDI,4,33567751,6.34039198597443,5504734,35987304,WIH2.2020.PHK76,DAP,WIH2.2020,PHK76,30482570
5,FPC5_NGRDI,3,183014187,6.38074280943427,171380419,183063825,WIH2.2020.PHP02,DAP,WIH2.2020,PHP02,11683406
5,FPC5_NGRDI,7,153527248,7.52865948855992,146303865,163429839,WIH2.2020.PHP02,DAP,WIH2.2020,PHP02,17125974
1,FPC1_NGRDI,2,184038396,6.02288136985683,182754171,184230055,WIH2.2020.PHZ51,DAP,WIH2.2020,PHZ51,1475884
4,FPC4_NGRDI,4,147311532,6.04846769538565,88719179,158887949,WIH2.2020.PHZ51,DAP,WIH2.2020,PHZ51,70168770
5,FPC5_NGRDI,10,8970266,6.67778107898147,1010287,9741725,WIH2.2020.PHZ51,DAP,WIH2.2020,PHZ51,8731438
1,FPC1_NGRDI,3,181368729,6.20525666259398,170874576,184794196,WIH2.2021.PHK76,DAP,WIH2.2021,PHK76,13919620
1,FPC1_NGRDI,5,195705370,9.66123887391811,191860553,198233259,WIH2.2021.PHP02,DAP,WIH2.2021,PHP02,6372706
1,FPC1_NGRDI,7,132151221,6.15840097073934,126763800,135304404,WIH2.2021.PHP02,DAP,WIH2.2021,PHP02,8540604
1,FPC1_NGRDI,10,15105104,6.12630282045279,10455141,78418637,WIH2.2021.PHP02,DAP,WIH2.2021,PHP02,67963496
1,FPC1_NGRDI,1,192233804,6.4599558382202,187778183,195739219,WIH2.2021.PHZ51,DAP,WIH2.2021,PHZ51,7961036
1,FPC1_NGRDI,4,10898390,6.31773330437157,6215875,11066535,WIH2.2021.PHZ51,DAP,WIH2.2021,PHZ51,4850660
3,FPC3_NGRDI,1,115536623,6.1208052742347,98082969,164736809,WIH2.2021.PHZ51,DAP,WIH2.2021,PHZ51,66653840
1,FPC1_NGRDI,2,191983350,6.58245870732877,31779195,224458477,WIH3.2020.PHP02,DAP,WIH3.2020,PHP02,192679282
1,FPC1_NGRDI,3,181327183,6.98254237604422,150319109,181374432,WIH3.2020.PHP02,DAP,WIH3.2020,PHP02,31055323
1,FPC1_NGRDI,5,100663421,12.1294689943529,98131294,101208987,WIH3.2020.PHP02,DAP,WIH3.2020,PHP02,3077693
1,FPC1_NGRDI,7,132128186,6.41439343268488,44604657,133463734,WIH3.2020.PHP02,DAP,WIH3.2020,PHP02,88859077
5,FPC5_NGRDI,1,263869986,6.54481983125236,259783079,287023626,WIH3.2020.PHP02,DAP,WIH3.2020,PHP02,27240547
4,FPC4_NGRDI,1,178764678,6.48235537224895,178143504,180826262,WIH3.2021.PHP02,DAP,WIH3.2021,PHP02,2682758
4,FPC4_NGRDI,5,84479104,7.19261261897369,76779544,171341091,WIH3.2021.PHP02,DAP,WIH3.2021,PHP02,94561547
2,FPC2_NGRDI,3,148504162,6.48351155472136,145832957,148513692,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,2680735
4,FPC4_NGRDI,2,41252280,6.22467009060404,17101301,99775933,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,82674632
4,FPC4_NGRDI,3,144669152,6.57782454048704,139337579,157504609,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,18167030
4,FPC4_NGRDI,4,35083873,6.33915117444488,5503970,55392923,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,49888953
5,FPC5_NGRDI,3,144669152,6.75390660512135,140514187,162745561,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,22231374
5,FPC5_NGRDI,4,11299745,6.86263025201478,10904622,133562179,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,122657557
5,FPC5_NGRDI,9,154040426,6.73766695095182,153456438,154848857,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,1392419
6,FPC6_NGRDI,2,40276806,6.53663592218473,6713022,45969596,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,39256574
7,FPC7_NGRDI,2,40276806,6.84493623515822,6713022,45969596,DEH1.2020.PHK76,AGDD,DEH1.2020,PHK76,39256574
2,FPC2_NGRDI,2,173278492,6.10619201255026,160577309,184002237,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,23424928
2,FPC2_NGRDI,4,161322905,6.59873704148883,41643792,161711823,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,120068031
4,FPC4_NGRDI,3,169571911,6.34601225503781,57760719,181374432,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,123613713
4,FPC4_NGRDI,4,133977209,6.66145824330093,16288945,157526169,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,141237224
4,FPC4_NGRDI,7,131799505,9.2066546035332,129808405,133463734,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,3655329
4,FPC4_NGRDI,9,20686359,7.87972047882012,14993530,20983356,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,5989826
5,FPC5_NGRDI,3,181366238,7.31498930419445,163775743,183018279,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,19242536
5,FPC5_NGRDI,7,131084653,8.79900809708646,129644680,133463734,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,3819054
6,FPC6_NGRDI,4,70458016,6.19000643139085,31108653,134601453,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,103492800
6,FPC6_NGRDI,9,20970960,7.36935058962112,14993530,39406565,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,24413035
7,FPC7_NGRDI,9,20970960,7.07856549457635,18073200,22302338,DEH1.2020.PHP02,AGDD,DEH1.2020,PHP02,4229138
1,FPC1_NGRDI,2,239107259,6.05366423688176,235468503,239840366,DEH1.2020.PHZ51,AGDD,DEH1.2020,PHZ51,4371863
2,FPC2_NGRDI,3,159744778,7.21518566191431,146729732,177691007,DEH1.2020.PHZ51,AGDD,DEH1.2020,PHZ51,30961275
4,FPC4_NGRDI,2,22361262,7.3587210253841,9538024,23510588,DEH1.2020.PHZ51,AGDD,DEH1.2020,PHZ51,13972564
4,FPC4_NGRDI,9,15727499,6.44027879658156,11810053,22302338,DEH1.2020.PHZ51,AGDD,DEH1.2020,PHZ51,10492285
4,FPC4_NGRDI,3,176717359,8.28997017124467,171380419,181148126,IAH4.2021.PHK76,AGDD,IAH4.2021,PHK76,9767707
4,FPC4_NGRDI,5,186323744,7.59454038075554,174500443,188210317,IAH4.2021.PHK76,AGDD,IAH4.2021,PHK76,13709874
5,FPC5_NGRDI,3,174209057,7.21882474695853,153001635,180819759,IAH4.2021.PHK76,AGDD,IAH4.2021,PHK76,27818124
5,FPC5_NGRDI,5,186323744,6.6592416891666,174660670,188210317,IAH4.2021.PHK76,AGDD,IAH4.2021,PHK76,13549647
5,FPC5_NGRDI,7,135786146,6.69016858213206,131738538,137532443,IAH4.2021.PHK76,AGDD,IAH4.2021,PHK76,5793905
7,FPC7_NGRDI,5,187072760,8.04202367923577,186323744,189096373,IAH4.2021.PHK76,AGDD,IAH4.2021,PHK76,2772629
4,FPC4_NGRDI,5,172216513,9.84550361811724,171985449,192959682,IAH4.2021.PHP02,AGDD,IAH4.2021,PHP02,20974233
4,FPC4_NGRDI,7,132563818,7.55560990425496,130564318,136709260,IAH4.2021.PHP02,AGDD,IAH4.2021,PHP02,6144942
4,FPC4_NGRDI,9,150751063,6.56655915368476,144982625,153789285,IAH4.2021.PHP02,AGDD,IAH4.2021,PHP02,8806660
5,FPC5_NGRDI,5,192940552,7.58500824187977,4979731,198233259,IAH4.2021.PHP02,AGDD,IAH4.2021,PHP02,193253528
5,FPC5_NGRDI,7,132660825,7.23561745852086,130564318,137427595,IAH4.2021.PHP02,AGDD,IAH4.2021,PHP02,6863277
4,FPC4_NGRDI,3,181491262,5.91125005777279,176720201,183063825,IAH4.2021.PHZ51,AGDD,IAH4.2021,PHZ51,6343624
7,FPC7_NGRDI,9,153787094,8.0830772488776,150851151,153889222,IAH4.2021.PHZ51,AGDD,IAH4.2021,PHZ51,3038071
1,FPC1_NGRDI,3,171061799,9.31381725176361,163775743,180819759,MIH1.2020.PHP02,AGDD,MIH1.2020,PHP02,17044016
1,FPC1_NGRDI,4,30914300,6.06781126347433,3253357,65982854,MIH1.2020.PHP02,AGDD,MIH1.2020,PHP02,62729497
1,FPC1_NGRDI,5,99424705,6.15308967641794,94466511,125663489,MIH1.2020.PHP02,AGDD,MIH1.2020,PHP02,31196978
2,FPC2_NGRDI,5,91351902,6.91989680382916,12395066,118864844,MIH1.2020.PHP02,AGDD,MIH1.2020,PHP02,106469778
4,FPC4_NGRDI,4,7967528,6.39773890143867,7658889,8027896,MIH1.2020.PHP02,AGDD,MIH1.2020,PHP02,369007
4,FPC4_NGRDI,7,135705786,6.82558501023502,132661123,136530859,MIH1.2020.PHP02,AGDD,MIH1.2020,PHP02,3869736
4,FPC4_NGRDI,2,161758356,6.59655039237119,47813619,191984262,MNH1.2020.PHP02,AGDD,MNH1.2020,PHP02,144170643
4,FPC4_NGRDI,9,150243095,7.581830776436,148554194,152369596,MNH1.2020.PHP02,AGDD,MNH1.2020,PHP02,3815402
5,FPC5_NGRDI,3,186201475,7.71546195832687,184275814,186663293,MNH1.2020.PHP02,AGDD,MNH1.2020,PHP02,2387479
7,FPC7_NGRDI,2,153053708,6.81413529059663,149005774,235943712,MNH1.2020.PHP02,AGDD,MNH1.2020,PHP02,86937938
1,FPC1_NGRDI,3,159653558,7.04459136105569,158251508,183018279,MNH1.2021.PHP02,AGDD,MNH1.2021,PHP02,24766771
1,FPC1_NGRDI,8,177509676,6.26581347122672,176772577,178147679,MNH1.2021.PHP02,AGDD,MNH1.2021,PHP02,1375102
5,FPC5_NGRDI,7,131963354,6.87914222615566,131155651,142468469,MNH1.2021.PHP02,AGDD,MNH1.2021,PHP02,11312818
5,FPC5_NGRDI,9,150832051,6.84838819873351,150052157,152626754,MNH1.2021.PHP02,AGDD,MNH1.2021,PHP02,2574597
7,FPC7_NGRDI,9,148532210,6.58137596818116,147580309,152369596,MNH1.2021.PHP02,AGDD,MNH1.2021,PHP02,4789287
4,FPC4_NGRDI,7,143391760,7.98160563684728,142059270,148320480,MOH1.2020.PHK76,AGDD,MOH1.2020,PHK76,6261210
4,FPC4_NGRDI,3,171380419,6.47360484441777,148568340,181126198,MOH1.2020.PHP02,AGDD,MOH1.2020,PHP02,32557858
4,FPC4_NGRDI,9,154001004,6.14529139393492,152664521,154266205,MOH1.2020.PHP02,AGDD,MOH1.2020,PHP02,1601684
7,FPC7_NGRDI,1,77562394,6.23907298367159,23771329,147073530,MOH1.2020.PHP02,AGDD,MOH1.2020,PHP02,123302201
4,FPC4_NGRDI,2,239202530,6.31887731038033,237913642,239760062,MOH1.2020.PHZ51,AGDD,MOH1.2020,PHZ51,1846420
6,FPC6_NGRDI,5,175496105,6.30592716029556,24846571,176355639,MOH1.2020.PHZ51,AGDD,MOH1.2020,PHZ51,151509068
4,FPC4_NGRDI,3,171482333,6.63527840974711,170874576,173839670,TXH2.2020.PHZ51,AGDD,TXH2.2020,PHZ51,2965094
5,FPC5_NGRDI,3,171358210,7.36786780350941,170874576,179430340,TXH2.2020.PHZ51,AGDD,TXH2.2020,PHZ51,8555764
6,FPC6_NGRDI,1,196745141,7.91154939693773,195825373,197587308,TXH2.2020.PHZ51,AGDD,TXH2.2020,PHZ51,1761935
1,FPC1_NGRDI,2,193975822,7.55027565136154,191983350,201514903,WIH1.2020.PHP02,AGDD,WIH1.2020,PHP02,9531553
1,FPC1_NGRDI,3,153165837,7.67154432831564,137956344,157504609,WIH1.2020.PHP02,AGDD,WIH1.2020,PHP02,19548265
1,FPC1_NGRDI,7,131738538,7.09306769721404,130730034,133463734,WIH1.2020.PHP02,AGDD,WIH1.2020,PHP02,2733700
1,FPC1_NGRDI,9,153924363,6.89666590557054,143501672,156239587,WIH1.2020.PHP02,AGDD,WIH1.2020,PHP02,12737915
3,FPC3_NGRDI,1,290260172,7.17612326024217,287013744,292601911,WIH1.2020.PHP02,AGDD,WIH1.2020,PHP02,5588167
4,FPC4_NGRDI,7,130183929,6.29938952261913,126763800,132562960,WIH1.2020.PHP02,AGDD,WIH1.2020,PHP02,5799160
5,FPC5_NGRDI,7,130183929,6.02736195113167,126547433,134097506,WIH1.2020.PHP02,AGDD,WIH1.2020,PHP02,7550073
1,FPC1_NGRDI,2,187653255,9.61797515080511,185612166,191652493,WIH1.2021.PHP02,AGDD,WIH1.2021,PHP02,6040327
4,FPC4_NGRDI,3,181058248,7.24189318320639,180411971,183015680,WIH1.2021.PHP02,AGDD,WIH1.2021,PHP02,2603709
4,FPC4_NGRDI,5,194079462,6.29255814907685,166684463,198497590,WIH1.2021.PHP02,AGDD,WIH1.2021,PHP02,31813127
5,FPC5_NGRDI,4,158351219,7.01015028325553,87115334,162455482,WIH1.2021.PHP02,AGDD,WIH1.2021,PHP02,75340148
1,FPC1_NGRDI,1,170604704,7.5126119656234,107085633,174525012,WIH2.2020.PHK76,AGDD,WIH2.2020,PHK76,67439379
1,FPC1_NGRDI,2,82310208,7.58637151655609,46192484,148918006,WIH2.2020.PHK76,AGDD,WIH2.2020,PHK76,102725522
1,FPC1_NGRDI,7,131799505,7.06204680102134,130397619,138089853,WIH2.2020.PHK76,AGDD,WIH2.2020,PHK76,7692234
3,FPC3_NGRDI,10,131409032,6.57700612703591,128804659,132066843,WIH2.2020.PHK76,AGDD,WIH2.2020,PHK76,3262184
7,FPC7_NGRDI,1,294910911,6.51996949269545,83843888,300070724,WIH2.2020.PHK76,AGDD,WIH2.2020,PHK76,216226836
7,FPC7_NGRDI,8,140002973,6.5173578997924,122598487,144842475,WIH2.2020.PHK76,AGDD,WIH2.2020,PHK76,22243988
1,FPC1_NGRDI,5,12820442,6.09542726842525,12493758,198233259,WIH2.2020.PHZ51,AGDD,WIH2.2020,PHZ51,185739501
1,FPC1_NGRDI,7,131549183,6.20477932668696,7816757,132127574,WIH2.2020.PHZ51,AGDD,WIH2.2020,PHZ51,124310817
2,FPC2_NGRDI,7,131155651,6.25403560958756,105910102,132127574,WIH2.2020.PHZ51,AGDD,WIH2.2020,PHZ51,26217472
4,FPC4_NGRDI,10,5525491,6.42498905440775,5020847,6339248,WIH2.2020.PHZ51,AGDD,WIH2.2020,PHZ51,1318401
5,FPC5_NGRDI,10,5569160,6.79940250198935,3789151,7231527,WIH2.2020.PHZ51,AGDD,WIH2.2020,PHZ51,3442376
4,FPC4_NGRDI,3,181374432,7.62238946901147,180825815,181401129,WIH2.2021.PHK76,AGDD,WIH2.2021,PHK76,575314
5,FPC5_NGRDI,3,181374432,6.74147120314807,181361615,183018279,WIH2.2021.PHK76,AGDD,WIH2.2021,PHK76,1656664
6,FPC6_NGRDI,8,181677461,6.30795240387557,177304637,181918208,WIH2.2021.PHK76,AGDD,WIH2.2021,PHK76,4613571
7,FPC7_NGRDI,3,176082144,6.00276726046296,157506444,176714115,WIH2.2021.PHK76,AGDD,WIH2.2021,PHK76,19207671
1,FPC1_NGRDI,5,172194655,6.6529455946041,71300315,174580018,WIH2.2021.PHP02,AGDD,WIH2.2021,PHP02,103279703
6,FPC6_NGRDI,5,195069976,6.74512766351281,192156477,196873551,WIH2.2021.PHP02,AGDD,WIH2.2021,PHP02,4717074
7,FPC7_NGRDI,1,284863436,6.66830990612617,282352645,290800708,WIH2.2021.PHP02,AGDD,WIH2.2021,PHP02,8448063
5,FPC5_NGRDI,5,72914560,6.75112092216003,70478501,103530109,WIH2.2021.PHZ51,AGDD,WIH2.2021,PHZ51,33051608
1,FPC1_NGRDI,2,191983146,6.13513050697171,38998893,225500843,WIH3.2020.PHP02,AGDD,WIH3.2020,PHP02,186501950
1,FPC1_NGRDI,5,100732987,12.4273561549918,97865708,142390997,WIH3.2020.PHP02,AGDD,WIH3.2020,PHP02,44525289
4,FPC4_NGRDI,3,169202709,6.16256267402503,145581952,177702573,WIH3.2020.PHP02,AGDD,WIH3.2020,PHP02,32120621
5,FPC5_NGRDI,1,262176137,8.52367781881128,259783079,263190804,WIH3.2020.PHP02,AGDD,WIH3.2020,PHP02,3407725
1,FPC1_NGRDI,9,154266205,6.78135119083542,153761005,154848857,WIH3.2021.PHP02,AGDD,WIH3.2021,PHP02,1087852
1,DTA.BLUE,3,173840602,6.86111035810503,165024862,181310270,DEH1.2020.PHP02,Flowering.Yield,DEH1.2020,PHP02,16285408
2,DTS.BLUE,3,23121706,8.28336421453708,12017184,41665472,DEH1.2020.PHP02,Flowering.Yield,DEH1.2020,PHP02,29648288
4,Yield.t.ha.BLUE,4,150354026,6.14997679648542,80602086,158573960,DEH1.2020.PHP02,Flowering.Yield,DEH1.2020,PHP02,77971874
4,Yield.t.ha.BLUE,10,15654393,7.13106829585298,14595499,24997270,DEH1.2020.PHP02,Flowering.Yield,DEH1.2020,PHP02,10401771
2,DTS.BLUE,2,75380434,6.86933428557066,34990756,157677505,DEH1.2020.PHZ51,Flowering.Yield,DEH1.2020,PHZ51,122686749
2,DTS.BLUE,7,75151910,6.18893696394394,48567554,125431388,DEH1.2020.PHZ51,Flowering.Yield,DEH1.2020,PHZ51,76863834
3,ASI,2,171041477,7.3530338558013,20432262,178994339,DEH1.2020.PHZ51,Flowering.Yield,DEH1.2020,PHZ51,158562077
4,Yield.t.ha.BLUE,8,106910226,6.19343051303931,104084359,136799632,DEH1.2020.PHZ51,Flowering.Yield,DEH1.2020,PHZ51,32715273
1,DTA.BLUE,3,152088156,8.88267229776597,145581952,157504609,IAH4.2021.PHK76,Flowering.Yield,IAH4.2021,PHK76,11922657
1,DTA.BLUE,8,128376366,9.08521287427318,127464227,133921799,IAH4.2021.PHK76,Flowering.Yield,IAH4.2021,PHK76,6457572
1,DTA.BLUE,1,96169944,6.51758074469433,71096747,178756702,IAH4.2021.PHP02,Flowering.Yield,IAH4.2021,PHP02,107659955
2,DTS.BLUE,2,223896865,6.26483041668284,222355231,229342289,IAH4.2021.PHP02,Flowering.Yield,IAH4.2021,PHP02,6987058
1,DTA.BLUE,2,182330416,7.53774184412749,38757620,184002237,IAH4.2021.PHZ51,Flowering.Yield,IAH4.2021,PHZ51,145244617
2,DTS.BLUE,2,173297371,6.22631003080196,35329025,184230055,IAH4.2021.PHZ51,Flowering.Yield,IAH4.2021,PHZ51,148901030
3,ASI,2,177371577,6.93253350571069,61843421,197817380,IAH4.2021.PHZ51,Flowering.Yield,IAH4.2021,PHZ51,135973959
2,DTS.BLUE,2,58266184,6.04892578041745,25287520,229399135,MIH1.2020.PHP02,Flowering.Yield,MIH1.2020,PHP02,204111615
1,DTA.BLUE,3,176714115,8.02547786273266,162945609,177693059,MNH1.2020.PHP02,Flowering.Yield,MNH1.2020,PHP02,14747450
2,DTS.BLUE,3,33643205,7.4178808100139,30177817,111783531,MNH1.2021.PHP02,Flowering.Yield,MNH1.2021,PHP02,81605714
3,ASI,3,39237801,6.29543310605026,1679124,111783531,MNH1.2021.PHP02,Flowering.Yield,MNH1.2021,PHP02,110104407
2,DTS.BLUE,3,51281608,8.30333374166622,12469700,130936978,MOH1.2020.PHK76,Flowering.Yield,MOH1.2020,PHK76,118467278
1,DTA.BLUE,3,168484142,6.48324542379825,162945609,170125197,MOH1.2020.PHP02,Flowering.Yield,MOH1.2020,PHP02,7179588
2,DTS.BLUE,3,44127238,6.7021928656594,22732457,169276387,MOH1.2020.PHP02,Flowering.Yield,MOH1.2020,PHP02,146543930
1,DTA.BLUE,8,11046171,6.14998652521601,8552084,13597601,MOH1.2020.PHZ51,Flowering.Yield,MOH1.2020,PHZ51,5045517
4,Yield.t.ha.BLUE,7,145095378,7.35367645022197,143414150,169772071,NEH1.2021.PHZ51,Flowering.Yield,NEH1.2021,PHZ51,26357921
1,DTA.BLUE,8,113367268,6.54352179127621,110881502,142312405,TXH1.2020.PHZ51,Flowering.Yield,TXH1.2020,PHZ51,31430903
2,DTS.BLUE,8,138993684,6.08002007284132,112768601,146725362,TXH1.2020.PHZ51,Flowering.Yield,TXH1.2020,PHZ51,33956761
3,ASI,4,8035843,6.3198616949718,8017896,8199293,TXH1.2020.PHZ51,Flowering.Yield,TXH1.2020,PHZ51,181397
2,DTS.BLUE,8,138924882,7.35953966249032,104269224,142322426,TXH2.2020.PHZ51,Flowering.Yield,TXH2.2020,PHZ51,38053202
4,Yield.t.ha.BLUE,10,130092379,6.40766764277472,124406429,132012616,TXH2.2020.PHZ51,Flowering.Yield,TXH2.2020,PHZ51,7606187
1,DTA.BLUE,3,170872489,7.24700430966425,1540814,181356980,WIH2.2020.PHP02,Flowering.Yield,WIH2.2020,PHP02,179816166
