chr,start,end,gene_id,peak_pos,LOD,Phenotype,Env.Tester,Env,FPCA_Type,Tester,biotype,briefDescription,description,exceptionNote,id,length,name,note,primaryIdentifier,score,scoreType,secondaryIdentifier,source,status,symbol,organism.name,chromosome.primaryIdentifier,chromosomeLocation.start,chromosomeLocation.end,goAnnotation.ontologyTerm.identifier
chr3,148502787,148504992,Zm00001eb140330,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ribosomal protein S10,,216703697.0,2206.0,,,Zm00001eb140330,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148502787.0,148504992.0,GO:0022627
chr3,148502787,148504992,Zm00001eb140330,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ribosomal protein S10,,216703697.0,2206.0,,,Zm00001eb140330,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148502787.0,148504992.0,GO:1990904
chr3,148505717,148509980,Zm00001eb140340,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,HIT-type domain-containing protein,,216703724.0,4264.0,,,Zm00001eb140340,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148505717.0,148509980.0,GO:0000463
chr3,148505717,148509980,Zm00001eb140340,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,HIT-type domain-containing protein,,216703724.0,4264.0,,,Zm00001eb140340,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148505717.0,148509980.0,GO:0000492
chr3,148505717,148509980,Zm00001eb140340,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,HIT-type domain-containing protein,,216703724.0,4264.0,,,Zm00001eb140340,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148505717.0,148509980.0,GO:0005634
chr3,148505717,148509980,Zm00001eb140340,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,HIT-type domain-containing protein,,216703724.0,4264.0,,,Zm00001eb140340,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148505717.0,148509980.0,GO:0046872
chr3,148505717,148509980,Zm00001eb140340,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,HIT-type domain-containing protein,,216703724.0,4264.0,,,Zm00001eb140340,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148505717.0,148509980.0,GO:0048254
chr3,148505717,148509980,Zm00001eb140340,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,HIT-type domain-containing protein,,216703724.0,4264.0,,,Zm00001eb140340,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148505717.0,148509980.0,GO:0070761
chr3,148510172,148512373,Zm00001eb140360,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ubiquitin-fold modifier 1,,216703751.0,2202.0,,,Zm00001eb140360,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148510172.0,148512373.0,GO:0005634
chr3,148510172,148512373,Zm00001eb140360,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ubiquitin-fold modifier 1,,216703751.0,2202.0,,,Zm00001eb140360,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148510172.0,148512373.0,GO:0005737
chr3,148510172,148512373,Zm00001eb140360,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ubiquitin-fold modifier 1,,216703751.0,2202.0,,,Zm00001eb140360,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148510172.0,148512373.0,GO:0016021
chr3,148510172,148512373,Zm00001eb140360,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ubiquitin-fold modifier 1,,216703751.0,2202.0,,,Zm00001eb140360,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148510172.0,148512373.0,GO:0071569
chr3,148510172,148512373,Zm00001eb140360,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Ubiquitin-fold modifier 1,,216703751.0,2202.0,,,Zm00001eb140360,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148510172.0,148512373.0,GO:1990592
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0005506
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0009507
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0009528
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0010277
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0015995
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0016491
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0031976
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0042651
chr3,148513412,148516303,Zm00001eb140370,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Chlorophyllide a oxygenase,,216703787.0,2892.0,,,Zm00001eb140370,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148513412.0,148516303.0,GO:0051537
chr3,148552889,148555826,Zm00001eb140380,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,,,216703953.0,2938.0,,,Zm00001eb140380,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148552889.0,148555826.0,GO:0005524
chr3,148552889,148555826,Zm00001eb140380,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,,,216703953.0,2938.0,,,Zm00001eb140380,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148552889.0,148555826.0,GO:0006457
chr3,148552889,148555826,Zm00001eb140380,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,,,216703953.0,2938.0,,,Zm00001eb140380,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148552889.0,148555826.0,GO:0016021
chr3,148556843,148569318,Zm00001eb140390,148504162,6.48351155472136,FPC2_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,C2 NT-type domain-containing protein,,216704005.0,12476.0,,,Zm00001eb140390,,,,B73 Zm00001eb.1,,,Zea mays,chr3,148556843.0,148569318.0,GO:0016021
chr2,41252079,41259361,Zm00001eb080120,41252280,6.22467009060404,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Post-GPI attachment to proteins factor 3,,216412098.0,7283.0,,,Zm00001eb080120,,,,B73 Zm00001eb.1,,,Zea mays,chr2,41252079.0,41259361.0,GO:0000139
chr2,41252079,41259361,Zm00001eb080120,41252280,6.22467009060404,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Post-GPI attachment to proteins factor 3,,216412098.0,7283.0,,,Zm00001eb080120,,,,B73 Zm00001eb.1,,,Zea mays,chr2,41252079.0,41259361.0,GO:0006506
chr2,41252079,41259361,Zm00001eb080120,41252280,6.22467009060404,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Post-GPI attachment to proteins factor 3,,216412098.0,7283.0,,,Zm00001eb080120,,,,B73 Zm00001eb.1,,,Zea mays,chr2,41252079.0,41259361.0,GO:0016021
chr2,41252079,41259361,Zm00001eb080120,41252280,6.22467009060404,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Post-GPI attachment to proteins factor 3,,216412098.0,7283.0,,,Zm00001eb080120,,,,B73 Zm00001eb.1,,,Zea mays,chr2,41252079.0,41259361.0,GO:0016788
chr2,41252079,41259361,Zm00001eb080120,41252280,6.22467009060404,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Post-GPI attachment to proteins factor 3,,216412098.0,7283.0,,,Zm00001eb080120,,,,B73 Zm00001eb.1,,,Zea mays,chr2,41252079.0,41259361.0,GO:0031227
chr2,41281619,41282184,Zm00001eb080130,41252280,6.22467009060404,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Copper transport protein family,,216412154.0,566.0,,,Zm00001eb080130,,,,B73 Zm00001eb.1,,,Zea mays,chr2,41281619.0,41282184.0,GO:0046872
chr3,144576486,144590871,Zm00001eb139490,144669152,6.57782454048704,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Calcineurin B-like protein 3,,216699128.0,14386.0,,,Zm00001eb139490,,,,B73 Zm00001eb.1,,,Zea mays,chr3,144576486.0,144590871.0,GO:0005509
chr3,144576486,144590871,Zm00001eb139490,144669152,6.57782454048704,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Calcineurin B-like protein 3,,216699128.0,14386.0,,,Zm00001eb139490,,,,B73 Zm00001eb.1,,,Zea mays,chr3,144576486.0,144590871.0,GO:0016021
chr3,144576486,144590871,Zm00001eb139490,144669152,6.57782454048704,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Calcineurin B-like protein 3,,216699128.0,14386.0,,,Zm00001eb139490,,,,B73 Zm00001eb.1,,,Zea mays,chr3,144576486.0,144590871.0,GO:0019722
chr3,144576486,144590871,Zm00001eb139490,144669152,6.57782454048704,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Calcineurin B-like protein 3,,216699128.0,14386.0,,,Zm00001eb139490,,,,B73 Zm00001eb.1,,,Zea mays,chr3,144576486.0,144590871.0,GO:0019900
chr3,144668810,144669933,Zm00001eb139500,144669152,6.57782454048704,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,,,,,,,,,,,,,,,,,,,,
chr3,144723341,144732369,Zm00001eb139510,144669152,6.57782454048704,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,,,,,,,,,,,,,,,,,,,,
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0000326
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0005515
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0005634
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0005789
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0005829
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0005886
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0006468
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0016021
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0032586
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0046907
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0061817
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0090158
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0106310
chr4,35075690,35081530,Zm00001eb172580,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,MSP domain-containing protein,,216879816.0,5841.0,,,Zm00001eb172580,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35075690.0,35081530.0,GO:0106311
chr4,35081728,35085443,Zm00001eb172590,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Putative glycerol-3-phosphate transporter 1,,216879892.0,3716.0,,,Zm00001eb172590,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35081728.0,35085443.0,GO:0006817
chr4,35081728,35085443,Zm00001eb172590,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Putative glycerol-3-phosphate transporter 1,,216879892.0,3716.0,,,Zm00001eb172590,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35081728.0,35085443.0,GO:0015712
chr4,35081728,35085443,Zm00001eb172590,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Putative glycerol-3-phosphate transporter 1,,216879892.0,3716.0,,,Zm00001eb172590,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35081728.0,35085443.0,GO:0016021
chr4,35081728,35085443,Zm00001eb172590,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Putative glycerol-3-phosphate transporter 1,,216879892.0,3716.0,,,Zm00001eb172590,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35081728.0,35085443.0,GO:0022857
chr4,35081728,35085443,Zm00001eb172590,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Putative glycerol-3-phosphate transporter 1,,216879892.0,3716.0,,,Zm00001eb172590,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35081728.0,35085443.0,GO:0055062
chr4,35081728,35085443,Zm00001eb172590,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Putative glycerol-3-phosphate transporter 1,,216879892.0,3716.0,,,Zm00001eb172590,,,,B73 Zm00001eb.1,,,Zea mays,chr4,35081728.0,35085443.0,GO:0055085
chr4,35089378,35089959,Zm00001eb172600,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,,,,,,,,,,,,,,,,,,,,
chr4,35089636,35089884,Zm00001eb172610,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,,,,,,,,,,,,,,,,,,,,
chr4,35183700,35189692,Zm00001eb172620,35083873,6.33915117444488,FPC4_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,,,,,,,,,,,,,,,,,,,,
chr3,144576486,144590871,Zm00001eb139490,144669152,6.75390660512135,FPC5_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Calcineurin B-like protein 3,,216699128.0,14386.0,,,Zm00001eb139490,,,,B73 Zm00001eb.1,,,Zea mays,chr3,144576486.0,144590871.0,GO:0005509
chr3,144576486,144590871,Zm00001eb139490,144669152,6.75390660512135,FPC5_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Calcineurin B-like protein 3,,216699128.0,14386.0,,,Zm00001eb139490,,,,B73 Zm00001eb.1,,,Zea mays,chr3,144576486.0,144590871.0,GO:0016021
chr3,144576486,144590871,Zm00001eb139490,144669152,6.75390660512135,FPC5_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Calcineurin B-like protein 3,,216699128.0,14386.0,,,Zm00001eb139490,,,,B73 Zm00001eb.1,,,Zea mays,chr3,144576486.0,144590871.0,GO:0019722
chr3,144576486,144590871,Zm00001eb139490,144669152,6.75390660512135,FPC5_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Calcineurin B-like protein 3,,216699128.0,14386.0,,,Zm00001eb139490,,,,B73 Zm00001eb.1,,,Zea mays,chr3,144576486.0,144590871.0,GO:0019900
chr3,144668810,144669933,Zm00001eb139500,144669152,6.75390660512135,FPC5_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,,,,,,,,,,,,,,,,,,,,
chr3,144723341,144732369,Zm00001eb139510,144669152,6.75390660512135,FPC5_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,,,,,,,,,,,,,,,,,,,,
chr4,11269206,11275036,Zm00001eb167830,11299745,6.86263025201478,FPC5_NGRDI,DEH1.2020.PHK76,DEH1.2020,AGDD,PHK76,protein_coding,,Leucine-rich repeat receptor-like serine/threonine-protein kinase BAM1,,216855645.0,5831.0,,,Zm00001eb167830,,,,B73 Zm00001eb.1,,,Zea mays,chr4,11269206.0,11275036.0,GO:0004672
