chr,start,end,gene_id,peak_pos,LOD,Phenotype,Env.Tester,Env,Tester,biotype,briefDescription,description,exceptionNote,id,length,name,note,primaryIdentifier,score,scoreType,secondaryIdentifier,source,status,symbol,organism.name,chromosome.primaryIdentifier,chromosomeLocation.start,chromosomeLocation.end,goAnnotation.ontologyTerm.identifier
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0004176
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0004252
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0005739
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0006508
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0008270
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0009368
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0009535
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0009536
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0009570
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0044257
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0050897
chr4,150427729,150430721,Zm00001eb185450,150354026,6.14997679648542,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,ATP-dependent Clp protease proteolytic subunit,,216937782.0,2993.0,,,Zm00001eb185450,,,,B73 Zm00001eb.1,,,Zea mays,chr4,150427729.0,150430721.0,GO:0051117
chr10,15640180,15644311,Zm00001eb409040,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,2-oxoisovalerate dehydrogenase,,218077088.0,4132.0,,,Zm00001eb409040,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15640180.0,15644311.0,GO:0005947
chr10,15640180,15644311,Zm00001eb409040,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,2-oxoisovalerate dehydrogenase,,218077088.0,4132.0,,,Zm00001eb409040,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15640180.0,15644311.0,GO:0009083
chr10,15640180,15644311,Zm00001eb409040,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,2-oxoisovalerate dehydrogenase,,218077088.0,4132.0,,,Zm00001eb409040,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15640180.0,15644311.0,GO:0009646
chr10,15640180,15644311,Zm00001eb409040,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,2-oxoisovalerate dehydrogenase,,218077088.0,4132.0,,,Zm00001eb409040,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15640180.0,15644311.0,GO:0009744
chr10,15640180,15644311,Zm00001eb409040,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,2-oxoisovalerate dehydrogenase,,218077088.0,4132.0,,,Zm00001eb409040,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15640180.0,15644311.0,GO:0016624
chr10,15640180,15644311,Zm00001eb409040,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,2-oxoisovalerate dehydrogenase,,218077088.0,4132.0,,,Zm00001eb409040,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15640180.0,15644311.0,GO:0043248
chr10,15640180,15644311,Zm00001eb409040,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,2-oxoisovalerate dehydrogenase,,218077088.0,4132.0,,,Zm00001eb409040,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15640180.0,15644311.0,GO:0043617
chr10,15640180,15644311,Zm00001eb409040,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,2-oxoisovalerate dehydrogenase,,218077088.0,4132.0,,,Zm00001eb409040,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15640180.0,15644311.0,GO:0046872
chr10,15640878,15641784,Zm00001eb409050,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,,,,,,,,,,,,,,,,,,,,
chr10,15644114,15648073,Zm00001eb409060,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,3'(2'),,218077376.0,3960.0,,,Zm00001eb409060,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15644114.0,15648073.0,GO:0000103
chr10,15644114,15648073,Zm00001eb409060,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,3'(2'),,218077376.0,3960.0,,,Zm00001eb409060,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15644114.0,15648073.0,GO:0006790
chr10,15644114,15648073,Zm00001eb409060,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,3'(2'),,218077376.0,3960.0,,,Zm00001eb409060,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15644114.0,15648073.0,GO:0008441
chr10,15644114,15648073,Zm00001eb409060,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,3'(2'),,218077376.0,3960.0,,,Zm00001eb409060,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15644114.0,15648073.0,GO:0042578
chr10,15644114,15648073,Zm00001eb409060,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,3'(2'),,218077376.0,3960.0,,,Zm00001eb409060,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15644114.0,15648073.0,GO:0046854
chr10,15644114,15648073,Zm00001eb409060,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,3'(2'),,218077376.0,3960.0,,,Zm00001eb409060,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15644114.0,15648073.0,GO:0046855
chr10,15644114,15648073,Zm00001eb409060,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,3'(2'),,218077376.0,3960.0,,,Zm00001eb409060,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15644114.0,15648073.0,GO:0046872
chr10,15651827,15671626,Zm00001eb409070,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,,,218077452.0,19800.0,,,Zm00001eb409070,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15651827.0,15671626.0,GO:0000428
chr10,15651827,15671626,Zm00001eb409070,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,,,218077452.0,19800.0,,,Zm00001eb409070,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15651827.0,15671626.0,GO:0003677
chr10,15651827,15671626,Zm00001eb409070,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,,,218077452.0,19800.0,,,Zm00001eb409070,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15651827.0,15671626.0,GO:0003899
chr10,15651827,15671626,Zm00001eb409070,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,,,218077452.0,19800.0,,,Zm00001eb409070,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15651827.0,15671626.0,GO:0006351
chr10,15651827,15671626,Zm00001eb409070,15654393,7.13106829585298,Yield.t.ha.BLUE,DEH1.2020.PHP02,DEH1.2020,PHP02,protein_coding,,,,218077452.0,19800.0,,,Zm00001eb409070,,,,B73 Zm00001eb.1,,,Zea mays,chr10,15651827.0,15671626.0,GO:0006749
chr2,75359471,75381565,Zm00001eb085670,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,,,216438171.0,22095.0,,,Zm00001eb085670,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75359471.0,75381565.0,GO:0003677
chr2,75432098,75437432,Zm00001eb085680,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,SNF1-related protein kinase regulatory subunit gamma-1,,216438214.0,5335.0,,,Zm00001eb085680,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75432098.0,75437432.0,GO:0016301
chr2,75432098,75437432,Zm00001eb085680,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,SNF1-related protein kinase regulatory subunit gamma-1,,216438214.0,5335.0,,,Zm00001eb085680,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75432098.0,75437432.0,GO:0016310
chr2,75432098,75437432,Zm00001eb085680,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,SNF1-related protein kinase regulatory subunit gamma-1,,216438214.0,5335.0,,,Zm00001eb085680,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75432098.0,75437432.0,GO:0019887
chr2,75432098,75437432,Zm00001eb085680,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,SNF1-related protein kinase regulatory subunit gamma-1,,216438214.0,5335.0,,,Zm00001eb085680,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75432098.0,75437432.0,GO:0050790
chr2,75462068,75463691,Zm00001eb085690,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,Transcription factor FER-LIKE IRON DEFICIENCY-INDUCED TRANSCRIPTION FACTOR,,216438278.0,1624.0,,,Zm00001eb085690,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75462068.0,75463691.0,GO:0003700
chr2,75462068,75463691,Zm00001eb085690,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,Transcription factor FER-LIKE IRON DEFICIENCY-INDUCED TRANSCRIPTION FACTOR,,216438278.0,1624.0,,,Zm00001eb085690,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75462068.0,75463691.0,GO:0005634
chr2,75462068,75463691,Zm00001eb085690,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,Transcription factor FER-LIKE IRON DEFICIENCY-INDUCED TRANSCRIPTION FACTOR,,216438278.0,1624.0,,,Zm00001eb085690,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75462068.0,75463691.0,GO:0006355
chr2,75462068,75463691,Zm00001eb085690,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,Transcription factor FER-LIKE IRON DEFICIENCY-INDUCED TRANSCRIPTION FACTOR,,216438278.0,1624.0,,,Zm00001eb085690,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75462068.0,75463691.0,GO:0043565
chr2,75462068,75463691,Zm00001eb085690,75380434,6.86933428557066,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,Transcription factor FER-LIKE IRON DEFICIENCY-INDUCED TRANSCRIPTION FACTOR,,216438278.0,1624.0,,,Zm00001eb085690,,,,B73 Zm00001eb.1,,,Zea mays,chr2,75462068.0,75463691.0,GO:0046983
chr7,75145754,75146697,Zm00001eb308400,75151910,6.18893696394394,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,S-norcoclaurine synthase,,217562594.0,944.0,,,Zm00001eb308400,,,,B73 Zm00001eb.1,,,Zea mays,chr7,75145754.0,75146697.0,GO:0004864
chr7,75145754,75146697,Zm00001eb308400,75151910,6.18893696394394,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,S-norcoclaurine synthase,,217562594.0,944.0,,,Zm00001eb308400,,,,B73 Zm00001eb.1,,,Zea mays,chr7,75145754.0,75146697.0,GO:0005634
chr7,75145754,75146697,Zm00001eb308400,75151910,6.18893696394394,DTS.BLUE,DEH1.2020.PHZ51,DEH1.2020,PHZ51,protein_coding,,S-norcoclaurine synthase,,217562594.0,944.0,,,Zm00001eb308400,,,,B73 Zm00001eb.1,,,Zea mays,chr7,75145754.0,75146697.0,GO:0005737
