lodindex,lodcolumn,chr,pos,lod,ci_lo,ci_hi,Env.Tester,FPCA_type,marker,Env,Tester
5,FPC5_NGRDI,5,192940552,7.58500824187977,287665,219926976,IAH4.2021.PHP02,AGDD,4,IAH4.2021,PHP02
5,FPC5_NGRDI,7,132660825,7.23561745852086,2869616,165193060,IAH4.2021.PHP02,AGDD,5,IAH4.2021,PHP02
4,FPC4_NGRDI,3,181491262,5.91125005777279,1982833,233270406,IAH4.2021.PHZ51,AGDD,1,IAH4.2021,PHZ51
7,FPC7_NGRDI,9,153787094,8.0830772488776,9698866,162741970,IAH4.2021.PHZ51,AGDD,2,IAH4.2021,PHZ51
1,FPC1_NGRDI,3,171061799,9.31381725176361,147410915,189400162,MIH1.2020.PHP02,AGDD,1,MIH1.2020,PHP02
1,FPC1_NGRDI,4,30914300,6.06781126347433,1034184,249558909,MIH1.2020.PHP02,AGDD,2,MIH1.2020,PHP02
1,FPC1_NGRDI,5,99424705,6.15308967641794,1339481,224170412,MIH1.2020.PHP02,AGDD,3,MIH1.2020,PHP02
2,FPC2_NGRDI,5,91351902,6.91989680382916,5913232,222578933,MIH1.2020.PHP02,AGDD,4,MIH1.2020,PHP02
4,FPC4_NGRDI,4,7967528,6.39773890143867,3692740,167077952,MIH1.2020.PHP02,AGDD,5,MIH1.2020,PHP02
4,FPC4_NGRDI,7,135705786,6.82558501023502,2082201,177834569,MIH1.2020.PHP02,AGDD,6,MIH1.2020,PHP02
4,FPC4_NGRDI,2,161758356,6.59655039237119,2247693,243129967,MNH1.2020.PHP02,AGDD,1,MNH1.2020,PHP02
4,FPC4_NGRDI,9,150243095,7.581830776436,2959815,153330602,MNH1.2020.PHP02,AGDD,2,MNH1.2020,PHP02
5,FPC5_NGRDI,3,186201475,7.71546195832687,14448438,193068502,MNH1.2020.PHP02,AGDD,3,MNH1.2020,PHP02
7,FPC7_NGRDI,2,153053708,6.81413529059663,837668,242181802,MNH1.2020.PHP02,AGDD,4,MNH1.2020,PHP02
1,FPC1_NGRDI,3,159653558,7.04459136105569,28476264,233269312,MNH1.2021.PHP02,AGDD,1,MNH1.2021,PHP02
1,FPC1_NGRDI,8,177509676,6.26581347122672,443274,181918208,MNH1.2021.PHP02,AGDD,2,MNH1.2021,PHP02
5,FPC5_NGRDI,7,131963354,6.87914222615566,7358024,185225465,MNH1.2021.PHP02,AGDD,3,MNH1.2021,PHP02
5,FPC5_NGRDI,9,150832051,6.84838819873351,2845280,159070839,MNH1.2021.PHP02,AGDD,4,MNH1.2021,PHP02
7,FPC7_NGRDI,9,148532210,6.58137596818116,10323129,159241990,MNH1.2021.PHP02,AGDD,5,MNH1.2021,PHP02
4,FPC4_NGRDI,7,143391760,7.98160563684728,6645606,163656330,MOH1.2020.PHK76,AGDD,1,MOH1.2020,PHK76
4,FPC4_NGRDI,3,171380419,6.47360484441777,2504648,231240322,MOH1.2020.PHP02,AGDD,1,MOH1.2020,PHP02
4,FPC4_NGRDI,9,154001004,6.14529139393492,9279731,162741970,MOH1.2020.PHP02,AGDD,2,MOH1.2020,PHP02
7,FPC7_NGRDI,1,77562394,6.23907298367159,4490725,303814507,MOH1.2020.PHP02,AGDD,3,MOH1.2020,PHP02
4,FPC4_NGRDI,2,239202530,6.31887731038033,837221,243129967,MOH1.2020.PHZ51,AGDD,1,MOH1.2020,PHZ51
6,FPC6_NGRDI,5,175496105,6.30592716029556,2633169,213130324,MOH1.2020.PHZ51,AGDD,2,MOH1.2020,PHZ51
4,FPC4_NGRDI,3,171482333,6.63527840974711,14894635,237058246,TXH2.2020.PHZ51,AGDD,1,TXH2.2020,PHZ51
5,FPC5_NGRDI,3,171358210,7.36786780350941,14894635,189401919,TXH2.2020.PHZ51,AGDD,2,TXH2.2020,PHZ51
6,FPC6_NGRDI,1,196745141,7.91154939693773,5652796,307135471,TXH2.2020.PHZ51,AGDD,3,TXH2.2020,PHZ51
1,FPC1_NGRDI,2,193975822,7.55027565136154,2920123,232149576,WIH1.2020.PHP02,AGDD,1,WIH1.2020,PHP02
1,FPC1_NGRDI,3,153165837,7.67154432831564,1213108,186663293,WIH1.2020.PHP02,AGDD,2,WIH1.2020,PHP02
1,FPC1_NGRDI,7,131738538,7.09306769721404,6247323,185225465,WIH1.2020.PHP02,AGDD,3,WIH1.2020,PHP02
1,FPC1_NGRDI,9,153924363,6.89666590557054,2517195,162741970,WIH1.2020.PHP02,AGDD,4,WIH1.2020,PHP02
3,FPC3_NGRDI,1,290260172,7.17612326024217,328512,299412998,WIH1.2020.PHP02,AGDD,5,WIH1.2020,PHP02
4,FPC4_NGRDI,7,130183929,6.29938952261913,873096,176690956,WIH1.2020.PHP02,AGDD,6,WIH1.2020,PHP02
5,FPC5_NGRDI,7,130183929,6.02736195113167,873096,184546401,WIH1.2020.PHP02,AGDD,7,WIH1.2020,PHP02
1,FPC1_NGRDI,2,187653255,9.61797515080511,124657237,198728435,WIH1.2021.PHP02,AGDD,1,WIH1.2021,PHP02
4,FPC4_NGRDI,3,181058248,7.24189318320639,3992369,235658604,WIH1.2021.PHP02,AGDD,2,WIH1.2021,PHP02
4,FPC4_NGRDI,5,194079462,6.29255814907685,4445608,225487769,WIH1.2021.PHP02,AGDD,3,WIH1.2021,PHP02
5,FPC5_NGRDI,4,158351219,7.01015028325553,14292684,245731345,WIH1.2021.PHP02,AGDD,4,WIH1.2021,PHP02
1,FPC1_NGRDI,1,170604704,7.5126119656234,14258892,296259334,WIH2.2020.PHK76,AGDD,1,WIH2.2020,PHK76
1,FPC1_NGRDI,2,82310208,7.58637151655609,11410482,232308225,WIH2.2020.PHK76,AGDD,2,WIH2.2020,PHK76
1,FPC1_NGRDI,7,131799505,7.06204680102134,7275935,184820352,WIH2.2020.PHK76,AGDD,3,WIH2.2020,PHK76
3,FPC3_NGRDI,10,131409032,6.57700612703591,3419091,150180935,WIH2.2020.PHK76,AGDD,4,WIH2.2020,PHK76
7,FPC7_NGRDI,1,294910911,6.51996949269545,9050901,307920245,WIH2.2020.PHK76,AGDD,5,WIH2.2020,PHK76
7,FPC7_NGRDI,8,140002973,6.5173578997924,11047115,173356696,WIH2.2020.PHK76,AGDD,6,WIH2.2020,PHK76
1,FPC1_NGRDI,5,12820442,6.09542726842525,2671836,225487769,WIH2.2020.PHZ51,AGDD,1,WIH2.2020,PHZ51
1,FPC1_NGRDI,7,131549183,6.20477932668696,1336705,185225465,WIH2.2020.PHZ51,AGDD,2,WIH2.2020,PHZ51
2,FPC2_NGRDI,7,131155651,6.25403560958756,2074611,185225465,WIH2.2020.PHZ51,AGDD,3,WIH2.2020,PHZ51
4,FPC4_NGRDI,10,5525491,6.42498905440775,1012017,127697049,WIH2.2020.PHZ51,AGDD,4,WIH2.2020,PHZ51
5,FPC5_NGRDI,10,5569160,6.79940250198935,1010287,97534982,WIH2.2020.PHZ51,AGDD,5,WIH2.2020,PHZ51
4,FPC4_NGRDI,3,181374432,7.62238946901147,121286409,185593250,WIH2.2021.PHK76,AGDD,1,WIH2.2021,PHK76
5,FPC5_NGRDI,3,181374432,6.74147120314807,1213108,237134337,WIH2.2021.PHK76,AGDD,2,WIH2.2021,PHK76
6,FPC6_NGRDI,8,181677461,6.30795240387557,3642304,181918208,WIH2.2021.PHK76,AGDD,3,WIH2.2021,PHK76
7,FPC7_NGRDI,3,176082144,6.00276726046296,1213108,235658604,WIH2.2021.PHK76,AGDD,4,WIH2.2021,PHK76
1,FPC1_NGRDI,5,172194655,6.6529455946041,2791837,224185576,WIH2.2021.PHP02,AGDD,1,WIH2.2021,PHP02
6,FPC6_NGRDI,5,195069976,6.74512766351281,2623777,209910134,WIH2.2021.PHP02,AGDD,2,WIH2.2021,PHP02
7,FPC7_NGRDI,1,284863436,6.66830990612617,8612637,307920245,WIH2.2021.PHP02,AGDD,3,WIH2.2021,PHP02
5,FPC5_NGRDI,5,72914560,6.75112092216003,5805212,225487769,WIH2.2021.PHZ51,AGDD,1,WIH2.2021,PHZ51
1,FPC1_NGRDI,2,191983146,6.13513050697171,837221,243129967,WIH3.2020.PHP02,AGDD,1,WIH3.2020,PHP02
1,FPC1_NGRDI,5,100732987,12.4273561549918,70481430,172198699,WIH3.2020.PHP02,AGDD,2,WIH3.2020,PHP02
4,FPC4_NGRDI,3,169202709,6.16256267402503,2925230,235197247,WIH3.2020.PHP02,AGDD,3,WIH3.2020,PHP02
5,FPC5_NGRDI,1,262176137,8.52367781881128,221583968,277607995,WIH3.2020.PHP02,AGDD,4,WIH3.2020,PHP02
1,FPC1_NGRDI,9,154266205,6.78135119083542,18073200,156239587,WIH3.2021.PHP02,AGDD,1,WIH3.2021,PHP02
1,FPC1_NGRDI,3,144669152,6.86679223370424,1213108,237134337,DEH1.2020.PHK76,DAP,1,DEH1.2020,PHK76
2,FPC2_NGRDI,4,35662180,6.23769918220071,1034184,233910030,DEH1.2020.PHK76,DAP,2,DEH1.2020,PHK76
3,FPC3_NGRDI,1,89135921,6.88074148311039,39898,302190795,DEH1.2020.PHK76,DAP,3,DEH1.2020,PHK76
4,FPC4_NGRDI,1,89050108,7.59427347066949,39898,294996106,DEH1.2020.PHK76,DAP,4,DEH1.2020,PHK76
5,FPC5_NGRDI,1,89050108,6.35593405353518,39898,306563409,DEH1.2020.PHK76,DAP,5,DEH1.2020,PHK76
1,FPC1_NGRDI,3,169283891,7.24943313659179,1213108,226494080,DEH1.2020.PHP02,DAP,1,DEH1.2020,PHP02
1,FPC1_NGRDI,4,31837742,6.32608251189251,1348035,248945088,DEH1.2020.PHP02,DAP,2,DEH1.2020,PHP02
1,FPC1_NGRDI,7,132530564,9.22544136558375,46250829,139470433,DEH1.2020.PHP02,DAP,3,DEH1.2020,PHP02
1,FPC1_NGRDI,9,18888265,6.75848308141621,12138524,160774382,DEH1.2020.PHP02,DAP,4,DEH1.2020,PHP02
1,FPC1_NGRDI,10,9744567,6.31557210890194,1010287,151594788,DEH1.2020.PHP02,DAP,5,DEH1.2020,PHP02
2,FPC2_NGRDI,1,86637797,8.48515726102282,21542460,286373737,DEH1.2020.PHP02,DAP,6,DEH1.2020,PHP02
2,FPC2_NGRDI,4,46917233,7.74917443255239,11365303,192993317,DEH1.2020.PHP02,DAP,7,DEH1.2020,PHP02
3,FPC3_NGRDI,7,146640999,6.75097319522233,8093730,179463193,DEH1.2020.PHP02,DAP,8,DEH1.2020,PHP02
3,FPC3_NGRDI,9,20971826,7.28468555819012,12138524,155362287,DEH1.2020.PHP02,DAP,9,DEH1.2020,PHP02
4,FPC4_NGRDI,7,146668875,6.32828509444588,2227052,179463193,DEH1.2020.PHP02,DAP,10,DEH1.2020,PHP02
4,FPC4_NGRDI,9,20970960,7.68380229537049,12799855,155362287,DEH1.2020.PHP02,DAP,11,DEH1.2020,PHP02
1,FPC1_NGRDI,2,9566010,7.92991863745044,3663229,226754609,DEH1.2020.PHZ51,DAP,1,DEH1.2020,PHZ51
1,FPC1_NGRDI,3,156278256,6.60666519656411,12364298,237134337,DEH1.2020.PHZ51,DAP,2,DEH1.2020,PHZ51
1,FPC1_NGRDI,5,191202589,6.97636421520033,10173810,224194587,DEH1.2020.PHZ51,DAP,3,DEH1.2020,PHZ51
1,FPC1_NGRDI,9,19345043,7.66280531176175,8591977,113599291,DEH1.2020.PHZ51,DAP,4,DEH1.2020,PHZ51
2,FPC2_NGRDI,3,176083701,6.37408225464794,1679124,237058246,DEH1.2020.PHZ51,DAP,5,DEH1.2020,PHZ51
3,FPC3_NGRDI,9,15727499,6.31969906264242,1793806,156199351,DEH1.2020.PHZ51,DAP,6,DEH1.2020,PHZ51
4,FPC4_NGRDI,1,88833700,6.72526944980542,39898,302826722,DEH1.2020.PHZ51,DAP,7,DEH1.2020,PHZ51
4,FPC4_NGRDI,9,15727499,6.38200986998139,1793806,156811020,DEH1.2020.PHZ51,DAP,8,DEH1.2020,PHZ51
1,FPC1_NGRDI,1,284780918,6.06759769363115,3734748,307920245,IAH4.2021.PHK76,DAP,1,IAH4.2021,PHK76
2,FPC2_NGRDI,5,162643404,7.40959719714994,10159270,220064117,IAH4.2021.PHK76,DAP,2,IAH4.2021,PHK76
3,FPC3_NGRDI,3,162919322,6.78012862262828,1465875,232761080,IAH4.2021.PHK76,DAP,3,IAH4.2021,PHK76
1,FPC1_NGRDI,7,132660825,7.26316424890879,39949618,179922921,IAH4.2021.PHP02,DAP,1,IAH4.2021,PHP02
2,FPC2_NGRDI,5,186178131,6.55153529135973,4957675,221551286,IAH4.2021.PHP02,DAP,2,IAH4.2021,PHP02
4,FPC4_NGRDI,1,102373219,7.49620919961338,29683072,193297136,IAH4.2021.PHP02,DAP,3,IAH4.2021,PHP02
5,FPC5_NGRDI,5,186238226,6.8854858457453,287665,220064117,IAH4.2021.PHP02,DAP,4,IAH4.2021,PHP02
2,FPC2_NGRDI,2,175475704,6.05241141571907,3706839,243129967,IAH4.2021.PHZ51,DAP,1,IAH4.2021,PHZ51
1,FPC1_NGRDI,3,168450310,7.21343877904738,12374185,232761080,MIH1.2020.PHP02,DAP,1,MIH1.2020,PHP02
1,FPC1_NGRDI,5,100854185,7.93945719369304,15201422,203586516,MIH1.2020.PHP02,DAP,2,MIH1.2020,PHP02
1,FPC1_NGRDI,7,132149906,6.99172295356194,2990541,147650397,MIH1.2020.PHP02,DAP,3,MIH1.2020,PHP02
2,FPC2_NGRDI,1,301966721,6.31914505665893,3167812,307920245,MIH1.2020.PHP02,DAP,4,MIH1.2020,PHP02
3,FPC3_NGRDI,3,186200893,6.55232975435598,1213108,237134337,MNH1.2020.PHP02,DAP,1,MNH1.2020,PHP02
1,FPC1_NGRDI,3,181126198,6.80650939348288,12374185,233269312,MNH1.2021.PHP02,DAP,1,MNH1.2021,PHP02
1,FPC1_NGRDI,8,177509239,7.21079259702059,1628633,181918208,MNH1.2021.PHP02,DAP,2,MNH1.2021,PHP02
4,FPC4_NGRDI,8,5178967,6.92653190840411,443274,166198594,MOH1.2020.PHK76,DAP,1,MOH1.2020,PHK76
1,FPC1_NGRDI,3,125624844,6.52895271964672,3533457,235658604,NEH1.2021.PHZ51,DAP,1,NEH1.2021,PHZ51
1,FPC1_NGRDI,4,11084503,7.27827848285644,1564774,180289869,NEH1.2021.PHZ51,DAP,2,NEH1.2021,PHZ51
3,FPC3_NGRDI,4,133978758,6.36187296541944,3851632,178883028,TXH2.2021.PHZ51,DAP,1,TXH2.2021,PHZ51
1,FPC1_NGRDI,3,181251147,7.34026590458922,4745616,200327640,TXH3.2020.PHZ51,DAP,1,TXH3.2020,PHZ51
5,FPC5_NGRDI,3,183635875,6.33442172647733,1605690,232969940,TXH3.2020.PHZ51,DAP,2,TXH3.2020,PHZ51
2,FPC2_NGRDI,4,177081651,6.37279034227723,15758847,222847161,TXH3.2021.PHZ51,DAP,1,TXH3.2021,PHZ51
4,FPC4_NGRDI,2,2532384,6.13734594612367,837221,225744426,WIH1.2020.PHP02,DAP,1,WIH1.2020,PHP02
5,FPC5_NGRDI,4,10901482,7.34802458560553,3623709,248111893,WIH1.2020.PHP02,DAP,2,WIH1.2020,PHP02
1,FPC1_NGRDI,2,187653255,7.36122216682937,16762892,217436978,WIH1.2021.PHP02,DAP,1,WIH1.2021,PHP02
1,FPC1_NGRDI,2,82310208,6.12346166287426,837221,243129967,WIH2.2020.PHK76,DAP,1,WIH2.2020,PHK76
1,FPC1_NGRDI,7,131668014,7.04852359622912,7016152,171067273,WIH2.2020.PHK76,DAP,2,WIH2.2020,PHK76
2,FPC2_NGRDI,4,33567751,6.34039198597443,1779869,243148854,WIH2.2020.PHK76,DAP,3,WIH2.2020,PHK76
5,FPC5_NGRDI,3,183014187,6.38074280943427,5114831,237134337,WIH2.2020.PHP02,DAP,1,WIH2.2020,PHP02
5,FPC5_NGRDI,7,153527248,7.52865948855992,44604657,176690956,WIH2.2020.PHP02,DAP,2,WIH2.2020,PHP02
1,FPC1_NGRDI,2,184038396,6.02288136985683,837221,243129967,WIH2.2020.PHZ51,DAP,1,WIH2.2020,PHZ51
4,FPC4_NGRDI,4,147311532,6.04846769538565,1779869,250055869,WIH2.2020.PHZ51,DAP,2,WIH2.2020,PHZ51
5,FPC5_NGRDI,10,8970266,6.67778107898147,1010287,150448229,WIH2.2020.PHZ51,DAP,3,WIH2.2020,PHZ51
1,FPC1_NGRDI,3,181368729,6.20525666259398,1284825,237134337,WIH2.2021.PHK76,DAP,1,WIH2.2021,PHK76
1,FPC1_NGRDI,5,195705370,9.66123887391811,90619807,207262029,WIH2.2021.PHP02,DAP,1,WIH2.2021,PHP02
1,FPC1_NGRDI,7,132151221,6.15840097073934,5128239,179922921,WIH2.2021.PHP02,DAP,2,WIH2.2021,PHP02
1,FPC1_NGRDI,10,15105104,6.12630282045279,4220704,145424135,WIH2.2021.PHP02,DAP,3,WIH2.2021,PHP02
1,FPC1_NGRDI,1,192233804,6.4599558382202,1933522,307920245,WIH2.2021.PHZ51,DAP,1,WIH2.2021,PHZ51
1,FPC1_NGRDI,4,10898390,6.31773330437157,1564774,250055869,WIH2.2021.PHZ51,DAP,2,WIH2.2021,PHZ51
3,FPC3_NGRDI,1,115536623,6.1208052742347,39898,305262784,WIH2.2021.PHZ51,DAP,3,WIH2.2021,PHZ51
1,FPC1_NGRDI,2,191983350,6.58245870732877,837221,242181802,WIH3.2020.PHP02,DAP,1,WIH3.2020,PHP02
1,FPC1_NGRDI,3,181327183,6.98254237604422,17628539,228705786,WIH3.2020.PHP02,DAP,2,WIH3.2020,PHP02
1,FPC1_NGRDI,5,100663421,12.1294689943529,71300315,172198699,WIH3.2020.PHP02,DAP,3,WIH3.2020,PHP02
1,FPC1_NGRDI,7,132128186,6.41439343268488,3351351,184266134,WIH3.2020.PHP02,DAP,4,WIH3.2020,PHP02
5,FPC5_NGRDI,1,263869986,6.54481983125236,39898,304415098,WIH3.2020.PHP02,DAP,5,WIH3.2020,PHP02
4,FPC4_NGRDI,1,178764678,6.48235537224895,39898,305358858,WIH3.2021.PHP02,DAP,1,WIH3.2021,PHP02
4,FPC4_NGRDI,5,84479104,7.19261261897369,43067395,213130324,WIH3.2021.PHP02,DAP,2,WIH3.2021,PHP02
